perimetre,jour_creation,delai_j,avis
complet,2026-08-11,1,1
complet,2026-08-11,2,11
complet,2026-08-11,3,2
complet,2026-08-11,5,3
complet,2026-08-11,6,46
complet,2026-08-11,7,42
complet,2026-08-11,8,4
complet,2026-08-11,9,6
complet,2026-08-11,10,3
complet,2026-08-11,11,2
complet,2026-08-11,12,1
complet,2026-08-11,,2463
complet,2026-08-12,2,7
complet,2026-08-12,3,2
complet,2026-08-12,5,6
complet,2026-08-12,6,10
complet,2026-08-12,7,72
complet,2026-08-12,8,7
complet,2026-08-12,9,1
complet,2026-08-12,10,3
complet,2026-08-12,12,3
complet,2026-08-12,,2360
complet,2026-08-13,1,1
complet,2026-08-13,2,6
complet,2026-08-13,3,7
complet,2026-08-13,5,3
complet,2026-08-13,6,22
complet,2026-08-13,7,62
complet,2026-08-13,8,10
complet,2026-08-13,9,2
complet,2026-08-13,10,3
complet,2026-08-13,11,2
complet,2026-08-13,,2608
complet,2026-08-14,2,8
complet,2026-08-14,3,8
complet,2026-08-14,4,1
complet,2026-08-14,6,8
complet,2026-08-14,7,62
complet,2026-08-14,8,16
complet,2026-08-14,9,4
complet,2026-08-14,10,4
complet,2026-08-14,,2697
complet,2026-08-15,1,6
complet,2026-08-15,2,3
complet,2026-08-15,3,4
complet,2026-08-15,4,2
complet,2026-08-15,5,2
complet,2026-08-15,6,22
complet,2026-08-15,7,20
complet,2026-08-15,8,12
complet,2026-08-15,9,3
complet,2026-08-15,,2365
complet,2026-08-16,1,1
complet,2026-08-16,2,11
complet,2026-08-16,3,2
complet,2026-08-16,4,7
complet,2026-08-16,5,5
complet,2026-08-16,6,8
complet,2026-08-16,7,26
complet,2026-08-16,8,2
complet,2026-08-16,,2158
complet,2026-08-17,1,1
complet,2026-08-17,2,9
complet,2026-08-17,3,8
complet,2026-08-17,4,1
complet,2026-08-17,5,1
complet,2026-08-17,6,51
complet,2026-08-17,7,27
complet,2026-08-17,,2313
sans_enseignes,2026-08-11,1,1
sans_enseignes,2026-08-11,2,11
sans_enseignes,2026-08-11,3,2
sans_enseignes,2026-08-11,5,1
sans_enseignes,2026-08-11,6,19
sans_enseignes,2026-08-11,7,23
sans_enseignes,2026-08-11,8,3
sans_enseignes,2026-08-11,9,4
sans_enseignes,2026-08-11,10,3
sans_enseignes,2026-08-11,11,2
sans_enseignes,2026-08-11,12,1
sans_enseignes,2026-08-11,,2301
sans_enseignes,2026-08-12,2,7
sans_enseignes,2026-08-12,3,2
sans_enseignes,2026-08-12,5,5
sans_enseignes,2026-08-12,6,7
sans_enseignes,2026-08-12,7,24
sans_enseignes,2026-08-12,8,6
sans_enseignes,2026-08-12,9,1
sans_enseignes,2026-08-12,10,3
sans_enseignes,2026-08-12,12,3
sans_enseignes,2026-08-12,,2212
sans_enseignes,2026-08-13,1,1
sans_enseignes,2026-08-13,2,6
sans_enseignes,2026-08-13,3,6
sans_enseignes,2026-08-13,5,3
sans_enseignes,2026-08-13,6,15
sans_enseignes,2026-08-13,7,38
sans_enseignes,2026-08-13,8,6
sans_enseignes,2026-08-13,9,2
sans_enseignes,2026-08-13,10,3
sans_enseignes,2026-08-13,11,2
sans_enseignes,2026-08-13,,2418
sans_enseignes,2026-08-14,2,8
sans_enseignes,2026-08-14,3,8
sans_enseignes,2026-08-14,4,1
sans_enseignes,2026-08-14,6,7
sans_enseignes,2026-08-14,7,36
sans_enseignes,2026-08-14,8,14
sans_enseignes,2026-08-14,9,4
sans_enseignes,2026-08-14,10,4
sans_enseignes,2026-08-14,,2522
sans_enseignes,2026-08-15,1,6
sans_enseignes,2026-08-15,2,3
sans_enseignes,2026-08-15,3,4
sans_enseignes,2026-08-15,4,2
sans_enseignes,2026-08-15,5,2
sans_enseignes,2026-08-15,6,13
sans_enseignes,2026-08-15,7,13
sans_enseignes,2026-08-15,8,11
sans_enseignes,2026-08-15,9,3
sans_enseignes,2026-08-15,,2246
sans_enseignes,2026-08-16,1,1
sans_enseignes,2026-08-16,2,11
sans_enseignes,2026-08-16,3,2
sans_enseignes,2026-08-16,4,7
sans_enseignes,2026-08-16,5,3
sans_enseignes,2026-08-16,6,7
sans_enseignes,2026-08-16,7,24
sans_enseignes,2026-08-16,8,2
sans_enseignes,2026-08-16,,2122
sans_enseignes,2026-08-17,1,1
sans_enseignes,2026-08-17,2,7
sans_enseignes,2026-08-17,3,8
sans_enseignes,2026-08-17,4,1
sans_enseignes,2026-08-17,6,35
sans_enseignes,2026-08-17,7,13
sans_enseignes,2026-08-17,,2232
