cid,avis_du_panel,suppressions,suppressions_1_etoile,part_1_etoile_pct,delai_min_suppression_j,delai_max_suppression_j
3163466139043001754,206,192,191,99.5,10,22
10346942689164695031,151,135,126,93.3,9,22
17240579944506384604,23,0,0,,,
18001400337099145465,15,0,0,,,
8360386507049310178,12,0,0,,,
11680289138109686097,9,0,0,,,
13321517714244479403,9,0,0,,,
6206338876798111072,8,0,0,,,
11010154036221773162,7,0,0,,,
8596509860214753133,3,0,0,,,
14559656408445102335,2,0,0,,,
13829337327975436726,1,0,0,,,
7815603872129852149,1,0,0,,,
