perimetre,zone,star,avis,supprimes_8j
complet,Europe,,6617,115
complet,Europe,1,536,26
complet,Europe,2,257,7
complet,Europe,3,370,3
complet,Europe,4,871,10
complet,Europe,5,4583,69
complet,US,,8631,445
complet,US,1,520,51
complet,US,2,127,6
complet,US,3,154,4
complet,US,4,421,14
complet,US,5,7409,370
complet,les_deux,,15248,560
complet,les_deux,1,1056,77
complet,les_deux,2,384,13
complet,les_deux,3,524,7
complet,les_deux,4,1292,24
complet,les_deux,5,11992,439
sans_enseignes,Europe,,6617,115
sans_enseignes,Europe,1,536,26
sans_enseignes,Europe,2,257,7
sans_enseignes,Europe,3,370,3
sans_enseignes,Europe,4,871,10
sans_enseignes,Europe,5,4583,69
sans_enseignes,US,,7610,256
sans_enseignes,US,1,470,46
sans_enseignes,US,2,126,5
sans_enseignes,US,3,149,3
sans_enseignes,US,4,392,8
sans_enseignes,US,5,6473,194
sans_enseignes,les_deux,,14227,371
sans_enseignes,les_deux,1,1006,72
sans_enseignes,les_deux,2,383,12
sans_enseignes,les_deux,3,519,6
sans_enseignes,les_deux,4,1263,18
sans_enseignes,les_deux,5,11056,263
