perimetre,zone,star,avis,supprimes_8j,part_supprimee_pct,rr_vs_5_etoiles,citable
complet,Europe,,6617,115,1.74,1.15,True
complet,Europe,1,536,26,4.85,3.22,True
complet,Europe,2,257,7,2.72,1.81,False
complet,Europe,3,370,3,0.81,0.54,False
complet,Europe,4,871,10,1.15,0.76,True
complet,Europe,5,4583,69,1.51,1.0,True
complet,US,,8631,445,5.16,1.03,True
complet,US,1,520,51,9.81,1.96,True
complet,US,2,127,6,4.72,0.95,False
complet,US,3,154,4,2.6,0.52,False
complet,US,4,421,14,3.33,0.67,True
complet,US,5,7409,370,4.99,1.0,True
complet,les_deux,,15248,560,3.67,1.0,True
complet,les_deux,1,1056,77,7.29,1.99,True
complet,les_deux,2,384,13,3.39,0.92,True
complet,les_deux,3,524,7,1.34,0.36,False
complet,les_deux,4,1292,24,1.86,0.51,True
complet,les_deux,5,11992,439,3.66,1.0,True
sans_enseignes,Europe,,6617,115,1.74,1.15,True
sans_enseignes,Europe,1,536,26,4.85,3.22,True
sans_enseignes,Europe,2,257,7,2.72,1.81,False
sans_enseignes,Europe,3,370,3,0.81,0.54,False
sans_enseignes,Europe,4,871,10,1.15,0.76,True
sans_enseignes,Europe,5,4583,69,1.51,1.0,True
sans_enseignes,US,,7610,256,3.36,1.12,True
sans_enseignes,US,1,470,46,9.79,3.27,True
sans_enseignes,US,2,126,5,3.97,1.32,False
sans_enseignes,US,3,149,3,2.01,0.67,False
sans_enseignes,US,4,392,8,2.04,0.68,False
sans_enseignes,US,5,6473,194,3.0,1.0,True
sans_enseignes,les_deux,,14227,371,2.61,1.1,True
sans_enseignes,les_deux,1,1006,72,7.16,3.01,True
sans_enseignes,les_deux,2,383,12,3.13,1.32,True
sans_enseignes,les_deux,3,519,6,1.16,0.49,False
sans_enseignes,les_deux,4,1263,18,1.43,0.6,True
sans_enseignes,les_deux,5,11056,263,2.38,1.0,True
