publie_le,supprime_le,suppressions,fiches,part_de_la_fiche_dominante_pct,une_note,note_moyenne
2026-08-02,2026-08-16,101,4,93.0,5,1.2
2026-08-01,2026-08-16,91,4,97.0,5,1.1
2026-08-07,2026-08-16,81,53,5.0,1,4.8
2026-08-12,2026-08-19,72,43,8.0,5,4.8
2026-08-14,2026-08-21,63,42,8.0,5,4.8
2026-08-13,2026-08-20,62,43,11.0,5,4.6
2026-07-30,2026-08-12,53,37,8.0,5,4.6
2026-07-29,2026-08-12,52,36,6.0,5,4.8
2026-08-17,2026-08-23,51,33,6.0,5,4.5
2026-08-11,2026-08-17,47,41,4.0,5,4.7
2026-08-11,2026-08-18,43,29,14.0,5,4.5
2026-08-10,2026-08-17,43,30,16.0,1,4.5
2026-08-01,2026-08-12,43,10,77.0,1,1.7
2026-08-02,2026-08-12,39,3,95.0,1,1.1
2026-08-08,2026-08-16,38,26,16.0,5,4.6
2026-08-01,2026-08-23,36,10,36.0,1,1.8
2026-08-06,2026-08-12,36,27,11.0,5,4.6
2026-08-06,2026-08-13,35,23,14.0,5,4.7
2026-08-10,2026-08-16,32,26,6.0,5,4.5
2026-08-18,2026-08-24,29,20,17.0,5,4.5
2026-08-02,2026-08-23,29,10,48.0,5,2.0
2026-08-17,2026-08-24,27,21,11.0,5,4.4
2026-08-16,2026-08-23,26,15,12.0,5,4.2
2026-08-09,2026-08-16,25,19,8.0,1,4.0
2026-08-03,2026-08-16,24,18,13.0,5,4.8
