cid,vieux_supprimes,jours,dates_de_publication,note_moyenne,plus_ancien,plus_recent
758758450125883918,39,4,37,1.05,2018-01-30,2025-07-03
817498439303474635,32,6,32,5.0,2022-07-14,2025-08-06
8592193049411979519,32,9,32,4.97,2023-03-23,2025-06-03
11253624861875245129,31,6,30,5.0,2020-06-29,2025-05-22
16248341169641882523,29,7,25,4.86,2024-04-29,2025-08-15
6665036569245004844,21,4,21,4.95,2022-10-13,2025-06-24
4433090577107943247,19,4,18,5.0,2022-10-06,2025-08-16
6278096211291522244,19,5,18,4.79,2023-01-11,2025-08-15
6979673743686913152,17,7,16,5.0,2022-01-28,2025-08-07
16201181649805957681,14,4,14,5.0,2023-07-28,2025-08-18
9284506857513497045,13,5,12,5.0,2017-10-16,2025-05-20
178064072666686963,12,8,12,4.0,2023-07-19,2025-08-12
2034461622997448093,12,3,12,5.0,2019-08-24,2025-04-09
4535259281716615882,11,4,11,5.0,2022-02-07,2025-06-24
2678349505464412907,11,2,11,5.0,2021-03-04,2025-05-30
