cid,country,industry,bucket,avis_a_la_construction,vieux_supprimes,dates_de_publication,jours_de_suppression,note_moyenne,plus_ancien,plus_recent
758758450125883918,DE,travel,mono,157,39,37,4,1.05,2018-01-30,2025-07-03
8592193049411979519,US,home_services,large,10887,32,32,9,4.97,2023-03-23,2025-06-03
817498439303474635,US,home_services,large,11104,32,32,6,5.0,2022-07-14,2025-08-06
11253624861875245129,US,home_services,large,7254,31,30,6,5.0,2020-06-29,2025-05-22
16248341169641882523,US,home_services,large,2955,29,25,7,4.86,2024-04-29,2025-08-15
6665036569245004844,US,home_services,large,4420,21,21,4,4.95,2022-10-13,2025-06-24
4433090577107943247,US,home_services,large,5366,19,18,4,5.0,2022-10-06,2025-08-16
6278096211291522244,US,home_services,large,2009,19,18,5,4.79,2023-01-11,2025-08-15
6979673743686913152,US,home_services,large,7682,17,16,7,5.0,2022-01-28,2025-08-07
16201181649805957681,US,healthcare,large,2186,14,14,4,5.0,2023-07-28,2025-08-18
