mois,avis,pour_10000,pour_10000_sans_enseignes
2016-01-01,2138,0.0,0.0
2016-02-01,2339,0.0,0.0
2016-03-01,3136,3.19,3.25
2016-04-01,3363,0.0,0.0
2016-05-01,4302,2.32,2.35
2016-06-01,5252,0.0,0.0
2016-07-01,7640,5.24,5.25
2016-08-01,8724,1.15,1.15
2016-09-01,6965,0.0,0.0
2016-10-01,6967,1.44,1.44
2016-11-01,7726,1.29,1.3
2016-12-01,8466,0.0,0.0
2017-01-01,9946,5.03,5.05
2017-02-01,10314,0.97,0.97
2017-03-01,11637,0.0,0.0
2017-04-01,11508,2.61,2.62
2017-05-01,12876,0.78,0.78
2017-06-01,19330,2.59,2.6
2017-07-01,24135,1.66,1.67
2017-08-01,26698,1.5,1.52
2017-09-01,24236,1.65,1.67
2017-10-01,22153,1.35,1.37
2017-11-01,21481,0.93,0.94
2017-12-01,23808,0.0,0.0
2018-01-01,27062,3.7,3.71
2018-02-01,27097,1.11,1.11
2018-03-01,30633,0.33,0.33
2018-04-01,28834,2.08,2.12
2018-05-01,34176,2.34,2.41
2018-06-01,37973,2.37,1.89
2018-07-01,47953,1.04,1.06
2018-08-01,50239,1.59,1.61
2018-09-01,39597,1.52,1.53
2018-10-01,35809,0.28,0.28
2018-11-01,31707,0.32,0.32
2018-12-01,36342,2.75,2.77
2019-01-01,36886,1.08,1.09
2019-02-01,31719,1.26,1.27
2019-03-01,40557,2.22,2.25
2019-04-01,41232,1.7,1.73
2019-05-01,42940,0.7,0.71
2019-06-01,49927,1.2,1.23
2019-07-01,56708,3.7,3.77
2019-08-01,60435,2.15,2.02
2019-09-01,45074,1.55,1.57
2019-10-01,40514,1.48,1.25
2019-11-01,36858,1.9,1.92
2019-12-01,35807,2.23,2.25
2020-01-01,41829,1.67,1.69
2020-02-01,42386,1.42,1.43
2020-03-01,24845,1.61,1.66
2020-04-01,5445,0.0,0.0
2020-05-01,14551,3.44,3.03
2020-06-01,26288,3.04,2.06
2020-07-01,37398,1.87,1.98
2020-08-01,40763,0.74,0.76
2020-09-01,34570,1.45,1.48
2020-10-01,30335,3.96,4.07
2020-11-01,22272,3.14,3.25
2020-12-01,21523,1.39,0.96
2021-01-01,23097,1.3,0.9
2021-02-01,22262,2.25,2.33
2021-03-01,29442,2.72,2.47
2021-04-01,30215,3.64,3.11
2021-05-01,35975,1.67,1.47
2021-06-01,43180,2.32,2.46
2021-07-01,51435,1.56,1.01
2021-08-01,53689,1.49,1.53
2021-09-01,42938,1.63,1.19
2021-10-01,38340,1.83,1.87
2021-11-01,32176,2.8,2.88
2021-12-01,29235,1.71,1.77
2022-01-01,28484,4.56,3.63
2022-02-01,28959,3.45,3.22
2022-03-01,33762,2.37,2.46
2022-04-01,36717,3.27,2.85
2022-05-01,41390,3.62,3.08
2022-06-01,44641,2.02,2.16
2022-07-01,48580,2.06,1.95
2022-08-01,52918,2.65,2.58
2022-09-01,42101,2.14,1.98
2022-10-01,40005,2.5,2.08
2022-11-01,34726,3.46,2.7
2022-12-01,34566,3.18,2.7
2023-01-01,35713,3.92,3.81
2023-02-01,35327,2.83,2.37
2023-03-01,41123,5.11,4.33
2023-04-01,43277,4.62,3.65
2023-05-01,49755,4.02,3.24
2023-06-01,52967,3.4,2.24
2023-07-01,60087,4.16,3.09
2023-08-01,65485,2.6,2.01
2023-09-01,52050,4.03,3.33
2023-10-01,49594,3.63,2.83
2023-11-01,43361,4.61,4.2
2023-12-01,41463,4.1,3.59
2024-01-01,41992,3.33,3.02
2024-02-01,41206,4.85,4.1
2024-03-01,44729,4.47,4.0
2024-04-01,48383,6.41,5.12
2024-05-01,55199,5.98,4.45
2024-06-01,56610,5.48,2.95
2024-07-01,58694,7.33,3.59
2024-08-01,61586,7.14,4.65
2024-09-01,54165,8.68,5.37
2024-10-01,55023,4.91,3.0
2024-11-01,45038,4.44,4.1
2024-12-01,41302,6.78,3.68
2025-01-01,45318,7.94,5.01
2025-02-01,45761,5.68,5.42
2025-03-01,55408,7.58,5.29
2025-04-01,57846,10.37,6.76
2025-05-01,64997,9.08,5.25
2025-06-01,68400,8.77,6.33
2025-07-01,76680,5.48,4.13
2025-08-01,76265,7.61,5.69
2025-09-01,64750,6.02,4.73
2025-10-01,61157,5.89,4.96
2025-11-01,51100,7.05,5.82
2025-12-01,47580,5.88,4.21
2026-01-01,49662,8.05,7.21
2026-02-01,48986,9.8,9.17
2026-03-01,58642,6.14,5.71
2026-04-01,60655,10.55,10.05
2026-05-01,66838,15.11,13.84
2026-06-01,69291,30.02,23.57
2026-07-01,75085,87.23,66.4
2026-08-01,25064,460.02,227.33
