trimestre,avis,supprimes,pour_10000,pour_10000_sans_enseignes
2016-01-01,7613,1.0,1.31,1.33
2016-04-01,12917,1.0,0.77,0.78
2016-07-01,23329,5.0,2.14,2.15
2016-10-01,23159,2.0,0.86,0.87
2017-01-01,31897,6.0,1.88,1.89
2017-04-01,43714,9.0,2.06,2.07
2017-07-01,75069,12.0,1.6,1.61
2017-10-01,67442,5.0,0.74,0.75
2018-01-01,84792,14.0,1.65,1.66
2018-04-01,100983,23.0,2.28,2.13
2018-07-01,137789,19.0,1.38,1.39
2018-10-01,103858,12.0,1.16,1.16
2019-01-01,109162,17.0,1.56,1.57
2019-04-01,134099,16.0,1.19,1.22
2019-07-01,162217,41.0,2.53,2.5
2019-10-01,113179,21.0,1.86,1.79
2020-01-01,109060,17.0,1.56,1.58
2020-04-01,46284,13.0,2.81,2.13
2020-07-01,112731,15.0,1.33,1.38
2020-10-01,74130,22.0,2.97,2.92
2021-01-01,74801,16.0,2.14,1.94
2021-04-01,109370,27.0,2.47,2.32
2021-07-01,148062,23.0,1.55,1.25
2021-10-01,99751,21.0,2.11,2.17
2022-01-01,91205,31.0,3.4,3.07
2022-04-01,122748,36.0,2.93,2.68
2022-07-01,143599,33.0,2.3,2.19
2022-10-01,109297,33.0,3.02,2.47
2023-01-01,112163,45.0,4.01,3.55
2023-04-01,145999,58.0,3.97,3.0
2023-07-01,177622,63.0,3.55,2.77
2023-10-01,134418,55.0,4.09,3.51
2024-01-01,127927,54.0,4.22,3.71
2024-04-01,160192,95.0,5.93,4.13
2024-07-01,174445,134.0,7.68,4.52
2024-10-01,141363,75.0,5.31,3.55
2025-01-01,146487,104.0,7.1,5.24
2025-04-01,191243,179.0,9.36,6.09
2025-07-01,217695,139.0,6.39,4.86
2025-10-01,159837,100.0,6.26,5.01
2026-01-01,157290,124.0,7.88,7.26
2026-04-01,196784,373.0,18.95,16.09
2026-07-01,100149,1808.0,180.53,106.17
