mois,avis,supprimes,pour_10000,fiches_touchees
2016-01-01,2138,0.0,0.0,0
2016-02-01,2339,0.0,0.0,0
2016-03-01,3136,1.0,3.19,1
2016-04-01,3363,0.0,0.0,0
2016-05-01,4302,1.0,2.32,1
2016-06-01,5252,0.0,0.0,0
2016-07-01,7640,4.0,5.24,3
2016-08-01,8724,1.0,1.15,1
2016-09-01,6965,0.0,0.0,0
2016-10-01,6967,1.0,1.44,1
2016-11-01,7726,1.0,1.29,1
2016-12-01,8466,0.0,0.0,0
2017-01-01,9946,5.0,5.03,5
2017-02-01,10314,1.0,0.97,1
2017-03-01,11637,0.0,0.0,0
2017-04-01,11508,3.0,2.61,3
2017-05-01,12876,1.0,0.78,1
2017-06-01,19330,5.0,2.59,5
2017-07-01,24135,4.0,1.66,4
2017-08-01,26698,4.0,1.5,4
2017-09-01,24236,4.0,1.65,4
2017-10-01,22153,3.0,1.35,3
2017-11-01,21481,2.0,0.93,2
2017-12-01,23808,0.0,0.0,0
2018-01-01,27062,10.0,3.7,10
2018-02-01,27097,3.0,1.11,3
2018-03-01,30633,1.0,0.33,1
2018-04-01,28834,6.0,2.08,6
2018-05-01,34176,8.0,2.34,8
2018-06-01,37973,9.0,2.37,8
2018-07-01,47953,5.0,1.04,5
2018-08-01,50239,8.0,1.59,8
2018-09-01,39597,6.0,1.52,6
2018-10-01,35809,1.0,0.28,1
2018-11-01,31707,1.0,0.32,1
2018-12-01,36342,10.0,2.75,9
2019-01-01,36886,4.0,1.08,3
2019-02-01,31719,4.0,1.26,4
2019-03-01,40557,9.0,2.22,9
2019-04-01,41232,7.0,1.7,7
2019-05-01,42940,3.0,0.7,3
2019-06-01,49927,6.0,1.2,6
2019-07-01,56708,21.0,3.7,21
2019-08-01,60435,13.0,2.15,13
2019-09-01,45074,7.0,1.55,7
2019-10-01,40514,6.0,1.48,6
2019-11-01,36858,7.0,1.9,7
2019-12-01,35807,8.0,2.23,8
2020-01-01,41829,7.0,1.67,7
2020-02-01,42386,6.0,1.42,6
2020-03-01,24845,4.0,1.61,4
2020-04-01,5445,0.0,0.0,0
2020-05-01,14551,5.0,3.44,5
2020-06-01,26288,8.0,3.04,7
2020-07-01,37398,7.0,1.87,7
2020-08-01,40763,3.0,0.74,3
2020-09-01,34570,5.0,1.45,5
2020-10-01,30335,12.0,3.96,12
2020-11-01,22272,7.0,3.14,7
2020-12-01,21523,3.0,1.39,3
2021-01-01,23097,3.0,1.3,3
2021-02-01,22262,5.0,2.25,5
2021-03-01,29442,8.0,2.72,8
2021-04-01,30215,11.0,3.64,11
2021-05-01,35975,6.0,1.67,6
2021-06-01,43180,10.0,2.32,10
2021-07-01,51435,8.0,1.56,8
2021-08-01,53689,8.0,1.49,8
2021-09-01,42938,7.0,1.63,7
2021-10-01,38340,7.0,1.83,7
2021-11-01,32176,9.0,2.8,9
2021-12-01,29235,5.0,1.71,4
2022-01-01,28484,13.0,4.56,12
2022-02-01,28959,10.0,3.45,10
2022-03-01,33762,8.0,2.37,8
2022-04-01,36717,12.0,3.27,11
2022-05-01,41390,15.0,3.62,14
2022-06-01,44641,9.0,2.02,8
2022-07-01,48580,10.0,2.06,10
2022-08-01,52918,14.0,2.65,12
2022-09-01,42101,9.0,2.14,9
2022-10-01,40005,10.0,2.5,10
2022-11-01,34726,12.0,3.46,11
2022-12-01,34566,11.0,3.18,11
2023-01-01,35713,14.0,3.92,10
2023-02-01,35327,10.0,2.83,9
2023-03-01,41123,21.0,5.11,16
2023-04-01,43277,20.0,4.62,19
2023-05-01,49755,20.0,4.02,19
2023-06-01,52967,18.0,3.4,17
2023-07-01,60087,25.0,4.16,23
2023-08-01,65485,17.0,2.6,14
2023-09-01,52050,21.0,4.03,20
2023-10-01,49594,18.0,3.63,17
2023-11-01,43361,20.0,4.61,20
2023-12-01,41463,17.0,4.1,16
2024-01-01,41992,14.0,3.33,14
2024-02-01,41206,20.0,4.85,18
2024-03-01,44729,20.0,4.47,19
2024-04-01,48383,31.0,6.41,30
2024-05-01,55199,33.0,5.98,29
2024-06-01,56610,31.0,5.48,24
2024-07-01,58694,43.0,7.33,29
2024-08-01,61586,44.0,7.14,39
2024-09-01,54165,47.0,8.68,37
2024-10-01,55023,27.0,4.91,22
2024-11-01,45038,20.0,4.44,19
2024-12-01,41302,28.0,6.78,25
