mois,avis,supprimes,fiches_touchees
2016-01-01,2138,0.0,0
2016-02-01,2339,0.0,0
2016-03-01,3136,1.0,1
2016-04-01,3363,0.0,0
2016-05-01,4302,1.0,1
2016-06-01,5252,0.0,0
2016-07-01,7640,4.0,3
2016-08-01,8724,1.0,1
2016-09-01,6965,0.0,0
2016-10-01,6967,1.0,1
2016-11-01,7726,1.0,1
2016-12-01,8466,0.0,0
2017-01-01,9946,5.0,5
2017-02-01,10314,1.0,1
2017-03-01,11637,0.0,0
2017-04-01,11508,3.0,3
2017-05-01,12876,1.0,1
2017-06-01,19330,5.0,5
2017-07-01,24135,4.0,4
2017-08-01,26698,4.0,4
2017-09-01,24236,4.0,4
2017-10-01,22153,3.0,3
2017-11-01,21481,2.0,2
2017-12-01,23808,0.0,0
2018-01-01,27062,10.0,10
2018-02-01,27097,3.0,3
2018-03-01,30633,1.0,1
2018-04-01,28834,6.0,6
2018-05-01,34176,8.0,8
2018-06-01,37973,9.0,8
2018-07-01,47953,5.0,5
2018-08-01,50239,8.0,8
2018-09-01,39597,6.0,6
2018-10-01,35809,1.0,1
2018-11-01,31707,1.0,1
2018-12-01,36342,10.0,9
2019-01-01,36886,4.0,3
2019-02-01,31719,4.0,4
2019-03-01,40557,9.0,9
2019-04-01,41232,7.0,7
2019-05-01,42940,3.0,3
2019-06-01,49927,6.0,6
2019-07-01,56708,21.0,21
2019-08-01,60435,13.0,13
2019-09-01,45074,7.0,7
2019-10-01,40514,6.0,6
2019-11-01,36858,7.0,7
2019-12-01,35807,8.0,8
2020-01-01,41829,7.0,7
2020-02-01,42386,6.0,6
2020-03-01,24845,4.0,4
2020-04-01,5445,0.0,0
2020-05-01,14551,5.0,5
2020-06-01,26288,8.0,7
2020-07-01,37398,7.0,7
2020-08-01,40763,3.0,3
2020-09-01,34570,5.0,5
2020-10-01,30335,12.0,12
2020-11-01,22272,7.0,7
2020-12-01,21523,3.0,3
2021-01-01,23097,3.0,3
2021-02-01,22262,5.0,5
2021-03-01,29442,8.0,8
2021-04-01,30215,11.0,11
2021-05-01,35975,6.0,6
2021-06-01,43180,10.0,10
2021-07-01,51435,8.0,8
2021-08-01,53689,8.0,8
2021-09-01,42938,7.0,7
2021-10-01,38340,7.0,7
2021-11-01,32176,9.0,9
2021-12-01,29235,5.0,4
2022-01-01,28484,13.0,12
2022-02-01,28959,10.0,10
2022-03-01,33762,8.0,8
2022-04-01,36717,12.0,11
2022-05-01,41390,15.0,14
2022-06-01,44641,9.0,8
2022-07-01,48580,10.0,10
2022-08-01,52918,14.0,12
2022-09-01,42101,9.0,9
2022-10-01,40005,10.0,10
2022-11-01,34726,12.0,11
2022-12-01,34566,11.0,11
2023-01-01,35713,14.0,10
2023-02-01,35327,10.0,9
2023-03-01,41123,21.0,16
2023-04-01,43277,20.0,19
2023-05-01,49755,20.0,19
2023-06-01,52967,18.0,17
2023-07-01,60087,25.0,23
2023-08-01,65485,17.0,14
2023-09-01,52050,21.0,20
2023-10-01,49594,18.0,17
2023-11-01,43361,20.0,20
2023-12-01,41463,17.0,16
2024-01-01,41992,14.0,14
2024-02-01,41206,20.0,18
2024-03-01,44729,20.0,19
2024-04-01,48383,31.0,30
2024-05-01,55199,33.0,29
2024-06-01,56610,31.0,24
2024-07-01,58694,43.0,29
2024-08-01,61586,44.0,39
2024-09-01,54165,47.0,37
2024-10-01,55023,27.0,22
2024-11-01,45038,20.0,19
2024-12-01,41302,28.0,25
