rang,part_observee,part_attendue
1,4.824,0.494
2,7.668,0.724
3,9.754,0.95
4,11.607,1.17
5,13.44,1.383
6,14.725,1.59
7,15.863,1.791
8,16.895,1.988
9,17.927,2.185
10,18.938,2.38
11,19.949,2.568
12,20.855,2.751
13,21.719,2.928
14,22.562,3.102
15,23.404,3.275
16,24.226,3.445
17,25.026,3.613
18,25.806,3.775
19,26.585,3.938
20,27.365,4.099
21,28.123,4.259
22,28.797,4.415
23,29.45,4.572
24,30.103,4.723
25,30.735,4.872
26,31.346,5.017
27,31.915,5.161
28,32.484,5.304
29,33.052,5.446
30,33.6,5.584
31,34.127,5.721
32,34.632,5.857
33,35.138,5.993
34,35.622,6.126
35,36.107,6.257
36,36.592,6.388
37,37.076,6.518
38,37.539,6.646
39,38.003,6.772
40,38.466,6.897
41,38.909,7.022
42,39.351,7.146
43,39.794,7.27
44,40.236,7.391
45,40.657,7.512
46,41.079,7.633
47,41.5,7.754
48,41.9,7.872
49,42.3,7.99
50,42.701,8.107
51,43.101,8.222
52,43.501,8.338
53,43.88,8.453
54,44.26,8.566
55,44.639,8.679
56,45.018,8.789
57,45.376,8.899
58,45.734,9.008
59,46.092,9.116
60,46.45,9.224
61,46.809,9.33
62,47.146,9.435
63,47.462,9.54
64,47.778,9.646
65,48.094,9.75
66,48.41,9.855
67,48.726,9.959
68,49.041,10.063
69,49.336,10.166
70,49.631,10.269
71,49.926,10.372
72,50.221,10.474
73,50.516,10.576
74,50.811,10.677
75,51.106,10.777
76,51.401,10.877
77,51.675,10.977
78,51.949,11.076
79,52.222,11.175
80,52.496,11.273
81,52.77,11.37
82,53.044,11.467
83,53.318,11.563
84,53.571,11.659
85,53.823,11.755
86,54.076,11.851
87,54.329,11.946
88,54.582,12.041
89,54.835,12.135
90,55.066,12.229
91,55.298,12.323
92,55.53,12.416
93,55.762,12.509
94,55.993,12.602
95,56.225,12.695
96,56.457,12.787
97,56.688,12.879
98,56.92,12.971
99,57.152,13.063
100,57.363,13.155
110,59.469,14.054
120,61.449,14.922
130,63.198,15.765
140,64.757,16.586
150,66.105,17.38
160,67.179,18.151
170,68.233,18.887
180,69.075,19.6
190,69.918,20.298
200,70.676,20.981
210,71.308,21.65
220,71.94,22.306
230,72.572,22.945
240,73.204,23.569
250,73.815,24.173
260,74.236,24.761
270,74.658,25.338
280,75.079,25.904
290,75.5,26.459
300,75.922,27.005
310,76.343,27.543
320,76.764,28.071
330,77.186,28.586
340,77.607,29.087
350,78.028,29.576
360,78.45,30.057
370,78.871,30.529
380,79.292,30.992
390,79.714,31.449
400,80.135,31.899
410,80.556,32.339
420,80.977,32.772
430,81.357,33.199
440,81.567,33.624
450,81.778,34.044
460,81.989,34.457
470,82.199,34.866
480,82.41,35.268
490,82.621,35.666
500,82.831,36.058
510,83.042,36.444
520,83.253,36.825
530,83.463,37.202
540,83.674,37.575
550,83.885,37.946
560,84.095,38.313
570,84.306,38.675
580,84.517,39.032
590,84.727,39.387
600,84.938,39.739
610,85.149,40.085
620,85.359,40.427
630,85.57,40.767
640,85.78,41.105
650,85.991,41.439
660,86.202,41.771
670,86.412,42.098
680,86.623,42.423
690,86.834,42.745
700,87.044,43.065
710,87.255,43.381
720,87.466,43.693
730,87.676,44.002
740,87.887,44.307
750,88.098,44.608
760,88.308,44.906
770,88.519,45.2
780,88.73,45.493
790,88.94,45.785
800,89.151,46.073
810,89.362,46.36
820,89.572,46.644
830,89.783,46.926
840,89.994,47.206
850,90.204,47.484
860,90.415,47.76
870,90.626,48.034
880,90.836,48.306
890,91.047,48.576
900,91.258,48.843
910,91.468,49.108
920,91.679,49.37
930,91.89,49.629
940,92.1,49.886
950,92.311,50.141
960,92.522,50.393
970,92.732,50.645
980,92.943,50.893
990,93.154,51.14
1000,93.364,51.385
1010,93.575,51.629
1020,93.786,51.872
1030,93.996,52.112
