enseigne,secteur,pays,avis,suppressions,part_du_stock_pct,part_du_total_pct
Boutique The Boxer Club Dr Castelo,wellness_fitness,ES,781,229.0,29.3,4.82
The Boxer Club,wellness_fitness,ES,668,135.0,20.2,2.84
EcoShield Pest Solutions,home_services,US,11018,99.0,0.9,2.09
EcoShield Pest Solutions,home_services,US,11245,88.0,0.8,1.85
Insight Pest Solutions,home_services,US,1745,87.0,5.0,1.83
Cedar Park Overhead Doors,home_services,US,4907,61.0,1.2,1.29
Insight Pest Solutions,home_services,US,3098,54.0,1.7,1.14
EcoShield Pest Solutions,home_services,US,5537,49.0,0.9,1.03
Bulwark Exterminating,home_services,US,5071,49.0,1.0,1.03
Ichiban Japanese Bistro,food_beverage,US,4102,48.0,1.2,1.01
Bischoff Touristik KG Busreisen,travel,DE,158,48.0,30.4,1.01
Insight Pest Solutions,home_services,US,1299,43.0,3.3,0.91
EcoShield Pest Solutions,home_services,US,7807,41.0,0.5,0.86
Overhead Door Co Of Norwich,home_services,US,1054,40.0,3.8,0.84
Solve Pest Pros,home_services,US,721,40.0,5.5,0.84
EcoShield Pest Solutions,home_services,US,4490,39.0,0.9,0.82
Rocky Mountain Balloon Adventures,travel,US,1295,38.0,2.9,0.8
EcoShield Pest Solutions,home_services,US,7276,37.0,0.5,0.78
EcoShield Pest Solutions,home_services,US,5384,37.0,0.7,0.78
Solve Pest Pros,home_services,US,1418,37.0,2.6,0.78
