enseigne,secteur,pays,avis_revenus,episodes,ep_2_jours_et_plus,absence_max_j,avis_de_la_fiche
Boutique The Boxer Club Dr Castelo,wellness_fitness,ES,35,35,0.0,1,816
Mikel Coffee Company,food_beverage,GR,35,35,0.0,1,75
Fair Doctors - Kinderarzt in Duisburg-Zentrum,healthcare,DE,34,34,0.0,1,74
Occasions Cavallari,automotive,FR,23,23,0.0,1,52
REDDY Küchen Eislingen,home_services,DE,23,23,0.0,1,51
DetailCar La Concha,automotive,ES,18,18,0.0,1,41
JET Waschstraße,automotive,DE,18,18,0.0,1,41
Insight Pest Solutions,home_services,US,11,11,1.0,5,1756
MEGA Malereinkaufsgenossenschaft,home_services,DE,11,11,0.0,1,28
JET Waschstraße,automotive,DE,9,9,0.0,1,23
A. Turbo Rent A Car,automotive,ES,5,5,1.0,3,524
Coast Fit Lab,wellness_fitness,PL,5,5,5.0,12,82
EcoShield Pest Solutions,home_services,US,5,5,1.0,7,2917
Hermann Bach GmbH & Co. KG,home_services,DE,5,5,0.0,1,15
abba Burgos,hospitality,ES,5,5,0.0,1,1841
