enseigne,secteur,pays,avis_revenus,absence_max_j,avis_de_la_fiche
Coast Fit Lab,wellness_fitness,PL,5,12,82
Fox Rent A Car,automotive,US,2,8,3046
Club Erlangen,wellness_fitness,DE,2,7,2214
Sycamore Mineral Springs- West Meadows,hospitality,US,2,7,3282
Alaska Fracture and Orthopedic Clinic,healthcare,US,2,5,1615
Chatham Orthopaedic Associates,healthcare,US,2,4,414
Courtyard by Marriott Hanover Whippany,hospitality,US,2,4,670
Green Pest Services,home_services,US,2,4,6726
Bischoff Touristik KG Busreisen,travel,DE,2,3,160
Doral Toyota,automotive,US,2,3,7386
