variable,libelle,risque_relatif,borne_basse,borne_haute,tranche
log_burst,Avis publiés le même jour par l'auteur,12.877348873521306,6.062928380449391,27.35082844539378,True
secteur_home_services,Secteur home services,4.544734609787875,2.673790953489718,7.724842006233219,True
vu_tardivement,Première observation au 8e jour ou plus tard,3.922622786235977,0.854384231560728,18.009425917177666,False
etoiles_1,Avis 1 étoile,2.7588559908859125,1.957606094124433,3.8880581753865777,True
secteur_travel,Secteur travel,2.440012066226839,0.8923301990040768,6.672035632075886,False
etoiles_2,Avis 2 étoiles,2.02169921992284,1.177031298723349,3.472522557615773,True
secteur_wellness_fitness,Secteur wellness et fitness,1.9015997060055043,0.9940815235442793,3.637610554300932,False
region_US,Établissement aux États-Unis,1.8501742989791157,1.285268268806539,2.6633699902834214,True
guide_sans_niveau,Auteur sans niveau Local Guide,1.8182009804691524,1.4567436208085034,2.269345654346654,True
taille_small,Établissement small,1.800598948294769,1.025040528441769,3.1629545199825837,True
taille_large,Établissement large,1.7672071380309224,1.028317633709576,3.0370198529430907,True
secteur_healthcare,Secteur healthcare,1.3653566020532562,0.7480549043119141,2.4920612645206384,False
langue_minoritaire_sur_la_fiche,Langue inhabituelle sur la fiche,1.135487414247724,0.7614176442872314,1.6933304311879132,False
log_ratio_pic_journalier_fiche,Pic d'avis sur la fiche ce jour-là,1.0447926434522057,0.8833554918763384,1.2357331536969265,False
texte_texte_1_50,Texte de 1 à 50 caractères,1.0445595290585956,0.8186104922525811,1.332873961515822,False
texte_texte_201p,Texte de plus de 200 caractères,1.0385499492221733,0.7712436894416743,1.398502200789738,False
has_photo,L'avis porte une photo,1.0036757734850414,0.7306154044758782,1.3787897874990058,False
log_rc,Nombre d'avis publiés par l'auteur,0.9891958976855336,0.8668004339860649,1.12887405870129,False
texte_texte_51_200,Texte de 51 à 200 caractères,0.9887453026349532,0.7760861893912603,1.2596761633517797,False
guide_4_et_plus,Auteur Local Guide niveau 4 ou plus,0.9374006031395756,0.6752251324247752,1.301373199203801,False
secteur_hospitality,Secteur hospitality,0.8927140683385661,0.4625855244215828,1.7227914963532125,False
log_photos_auteur,Photos publiées par l'auteur,0.8524640491310209,0.7960658701823733,0.9128578202886336,True
secteur_food_beverage,Secteur food et beverage,0.7433145248292327,0.3114823843427972,1.773828988717527,False
etoiles_4,Avis 4 étoiles,0.7402398252754596,0.5377160959149322,1.0190414664665917,False
etoiles_3,Avis 3 étoiles,0.5422192644881838,0.2911177650882317,1.0099065259483606,False
