perimetre,langue,n_avec_texte,n_supprimes_avec_texte,part_supprimee_pct,n_fiches
complet,en,16407,809,4.93,3169
complet,fr,3143,72,2.29,746
complet,de,2229,48,2.15,740
complet,es,1457,51,3.5,490
complet,it,843,11,1.3,356
complet,nl,676,9,1.33,270
complet,pl,314,4,1.27,131
complet,ro,154,3,1.95,31
complet,pt,151,1,0.66,73
complet,hu,88,2,2.27,42
complet,el,88,1,1.14,50
complet,sv,61,0,0.0,43
complet,cs,60,0,0.0,35
complet,fi,60,0,0.0,35
complet,no,59,0,0.0,43
complet,da,54,1,1.85,41
complet,hr,42,0,0.0,25
complet,ru,37,2,5.41,36
complet,ca,29,0,0.0,27
complet,uk,26,2,7.69,15
complet,bg,24,2,8.33,10
complet,sk,23,1,4.35,14
complet,tr,16,0,0.0,14
complet,ko,14,2,14.29,13
complet,lt,14,0,0.0,8
complet,ar,11,0,0.0,10
complet,iw,10,0,0.0,10
complet,sl,10,0,0.0,8
complet,bs,7,0,0.0,6
complet,hi,6,0,0.0,3
complet,ja,6,0,0.0,5
complet,fil,5,0,0.0,5
complet,zh-Hant,5,0,0.0,5
complet,gd,4,0,0.0,2
complet,lv,4,0,0.0,4
complet,om,3,0,0.0,1
complet,mr,3,0,0.0,1
complet,mk,2,0,0.0,2
complet,zh-Hans,2,0,0.0,2
complet,lb,2,0,0.0,2
complet,ht,1,0,0.0,1
complet,am,1,0,0.0,1
complet,id,1,0,0.0,1
complet,ml,1,0,0.0,1
complet,pt-BR,1,0,0.0,1
complet,la,1,0,0.0,1
complet,zh,1,0,0.0,1
complet,gl,1,0,0.0,1
complet,en-AU,1,0,0.0,1
complet,en-GB,1,0,0.0,1
complet,af,1,0,0.0,1
complet,ta,1,0,0.0,1
complet,co,1,0,0.0,1
complet,ceb,1,0,0.0,1
complet,nso,1,0,0.0,1
complet,et,1,0,0.0,1
complet,en-US,1,0,0.0,1
complet,fy,1,0,0.0,1
complet,haw,1,0,0.0,1
sans_enseignes,en,14555,494,3.39,3075
sans_enseignes,fr,3143,72,2.29,746
sans_enseignes,de,2229,48,2.15,740
sans_enseignes,es,1445,44,3.04,485
sans_enseignes,it,843,11,1.3,356
sans_enseignes,nl,676,9,1.33,270
sans_enseignes,pl,314,4,1.27,131
sans_enseignes,ro,154,3,1.95,31
sans_enseignes,pt,150,1,0.67,72
sans_enseignes,hu,88,2,2.27,42
sans_enseignes,el,86,0,0.0,49
sans_enseignes,sv,61,0,0.0,43
sans_enseignes,fi,60,0,0.0,35
sans_enseignes,cs,60,0,0.0,35
sans_enseignes,no,59,0,0.0,43
sans_enseignes,da,54,1,1.85,41
sans_enseignes,hr,42,0,0.0,25
sans_enseignes,ru,37,2,5.41,36
sans_enseignes,ca,29,0,0.0,27
sans_enseignes,uk,26,2,7.69,15
sans_enseignes,bg,24,2,8.33,10
sans_enseignes,sk,23,1,4.35,14
sans_enseignes,tr,16,0,0.0,14
sans_enseignes,lt,14,0,0.0,8
sans_enseignes,ko,14,2,14.29,13
sans_enseignes,ar,11,0,0.0,10
sans_enseignes,sl,10,0,0.0,8
sans_enseignes,iw,10,0,0.0,10
sans_enseignes,bs,7,0,0.0,6
sans_enseignes,ja,6,0,0.0,5
sans_enseignes,fil,5,0,0.0,5
sans_enseignes,hi,5,0,0.0,2
sans_enseignes,zh-Hant,5,0,0.0,5
sans_enseignes,lv,4,0,0.0,4
sans_enseignes,gd,4,0,0.0,2
sans_enseignes,om,3,0,0.0,1
sans_enseignes,mr,3,0,0.0,1
sans_enseignes,lb,2,0,0.0,2
sans_enseignes,zh-Hans,2,0,0.0,2
sans_enseignes,mk,2,0,0.0,2
sans_enseignes,ht,1,0,0.0,1
sans_enseignes,en-AU,1,0,0.0,1
sans_enseignes,gl,1,0,0.0,1
sans_enseignes,zh,1,0,0.0,1
sans_enseignes,la,1,0,0.0,1
sans_enseignes,af,1,0,0.0,1
sans_enseignes,en-GB,1,0,0.0,1
sans_enseignes,am,1,0,0.0,1
sans_enseignes,pt-BR,1,0,0.0,1
sans_enseignes,haw,1,0,0.0,1
sans_enseignes,id,1,0,0.0,1
sans_enseignes,ta,1,0,0.0,1
sans_enseignes,ceb,1,0,0.0,1
sans_enseignes,et,1,0,0.0,1
sans_enseignes,en-US,1,0,0.0,1
sans_enseignes,fy,1,0,0.0,1
sans_enseignes,ml,1,0,0.0,1
