perimetre,note,langue,n_avec_texte,n_supprimes,n_restes,part_supprimee_pct,n_fiches,n_fiches_avec_suppression
complet,1,en,1225,101,1124,8.24,732,54
complet,1,fr,322,24,298,7.45,192,21
complet,1,de,230,7,223,3.04,165,7
complet,1,es,209,14,195,6.7,128,8
complet,1,autres_langues,138,7,131,5.07,113,7
complet,1,it,80,1,79,1.25,56,1
complet,1,nl,62,3,59,4.84,34,2
complet,2,en,325,13,312,4.0,281,12
complet,2,fr,139,5,134,3.6,88,5
complet,2,de,109,2,107,1.83,91,2
complet,2,autres_langues,62,1,61,1.61,51,1
complet,2,es,57,5,52,8.77,44,2
complet,2,nl,43,0,43,0.0,33,0
complet,2,it,32,1,31,3.13,27,1
complet,3,en,360,6,354,1.67,315,6
complet,3,fr,167,0,167,0.0,103,0
complet,3,de,122,2,120,1.64,90,2
complet,3,autres_langues,84,0,84,0.0,70,0
complet,3,es,76,0,76,0.0,56,0
complet,3,nl,49,1,48,2.04,38,1
complet,3,it,41,1,40,2.44,38,1
complet,4,en,779,21,758,2.7,549,19
complet,4,fr,319,2,317,0.63,165,2
complet,4,de,220,0,220,0.0,154,0
complet,4,autres_langues,165,2,163,1.21,129,2
complet,4,nl,128,1,127,0.78,81,1
complet,4,es,126,4,122,3.17,84,1
complet,4,it,78,0,78,0.0,69,0
complet,5,en,13718,668,13050,4.87,2750,157
complet,5,fr,2196,41,2155,1.87,606,14
complet,5,de,1548,37,1511,2.39,583,12
complet,5,es,989,28,961,2.83,385,13
complet,5,autres_langues,964,11,953,1.14,451,9
complet,5,it,612,8,604,1.31,267,5
complet,5,nl,394,4,390,1.02,189,2
sans_enseignes,1,en,1114,89,1025,7.99,688,48
sans_enseignes,1,fr,322,24,298,7.45,192,21
sans_enseignes,1,de,230,7,223,3.04,165,7
sans_enseignes,1,es,203,11,192,5.42,125,7
sans_enseignes,1,autres_langues,138,7,131,5.07,113,7
sans_enseignes,1,it,80,1,79,1.25,56,1
sans_enseignes,1,nl,62,3,59,4.84,34,2
sans_enseignes,2,en,315,12,303,3.81,271,11
sans_enseignes,2,fr,139,5,134,3.6,88,5
sans_enseignes,2,de,109,2,107,1.83,91,2
sans_enseignes,2,autres_langues,62,1,61,1.61,51,1
sans_enseignes,2,es,54,2,52,3.7,43,1
sans_enseignes,2,nl,43,0,43,0.0,33,0
sans_enseignes,2,it,32,1,31,3.13,27,1
sans_enseignes,3,en,346,5,341,1.45,302,5
sans_enseignes,3,fr,167,0,167,0.0,103,0
sans_enseignes,3,de,122,2,120,1.64,90,2
sans_enseignes,3,autres_langues,84,0,84,0.0,70,0
sans_enseignes,3,es,76,0,76,0.0,56,0
sans_enseignes,3,nl,49,1,48,2.04,38,1
sans_enseignes,3,it,41,1,40,2.44,38,1
sans_enseignes,4,en,738,15,723,2.03,523,14
sans_enseignes,4,fr,319,2,317,0.63,165,2
sans_enseignes,4,de,220,0,220,0.0,154,0
sans_enseignes,4,autres_langues,165,2,163,1.21,129,2
sans_enseignes,4,nl,128,1,127,0.78,81,1
sans_enseignes,4,es,126,4,122,3.17,84,1
sans_enseignes,4,it,78,0,78,0.0,69,0
sans_enseignes,5,en,12042,373,11669,3.1,2658,112
sans_enseignes,5,fr,2196,41,2155,1.87,606,14
sans_enseignes,5,de,1548,37,1511,2.39,583,12
sans_enseignes,5,es,986,27,959,2.74,383,12
sans_enseignes,5,autres_langues,958,10,948,1.04,447,8
sans_enseignes,5,it,612,8,604,1.31,267,5
sans_enseignes,5,nl,394,4,390,1.02,189,2
