perimetre,note,langue,n_supprimes,n_restes,ecart_observe,hasard_moyen,hasard_borne_basse,hasard_borne_haute,au_dessus_du_hasard,rapport_observe_sur_hasard
complet,1,en,101,1124,0.0022,0.0011,0.0009,0.0015,True,1.9
complet,1,fr,24,298,0.0053,0.0038,0.0029,0.0051,True,1.41
complet,4,en,21,758,0.031,0.0064,0.0048,0.0087,True,4.87
complet,5,de,37,1511,0.0059,0.0026,0.0019,0.0036,True,2.28
complet,5,en,668,13050,0.0022,0.0002,0.0001,0.0003,True,11.3
complet,5,es,28,961,0.0063,0.0031,0.0024,0.0044,True,2.02
complet,5,fr,41,2155,0.0068,0.0023,0.0017,0.0034,True,2.94
sans_enseignes,1,en,89,1025,0.0025,0.0013,0.001,0.0017,True,1.88
sans_enseignes,1,fr,24,298,0.0053,0.0038,0.0029,0.0053,True,1.41
sans_enseignes,5,de,37,1511,0.0059,0.0026,0.0019,0.0036,True,2.29
sans_enseignes,5,en,373,11669,0.0011,0.0003,0.0003,0.0005,True,3.27
sans_enseignes,5,es,27,959,0.0064,0.0033,0.0024,0.0046,True,1.93
sans_enseignes,5,fr,41,2155,0.0068,0.0023,0.0017,0.0035,True,2.93
