population,groupe,n_avis,n_supprimes,n_fiches,note_moyenne,longueur_mediane,part_supprimee_pct,langue_dominante,part_5_etoiles_pct,part_enseignes_pct
tout_le_panel,26,1666,154,419,4.97,221.0,9.24,en,98.1,38.7
tout_le_panel,10,952,85,527,1.4,481.5,8.93,en,2.4,12.8
tout_le_panel,24,1032,86,357,4.98,98.0,8.33,en,98.3,35.6
tout_le_panel,19,599,48,380,4.97,39.0,8.01,en,97.7,18.0
tout_le_panel,1,624,42,433,4.94,19.5,6.73,en,94.2,9.6
tout_le_panel,12,698,42,343,4.93,78.0,6.02,en,95.4,16.9
tout_le_panel,0,814,49,318,4.97,48.0,6.02,en,97.2,27.0
tout_le_panel,13,1080,55,541,4.97,224.0,5.09,en,98.1,1.5
tout_le_panel,29,669,31,227,4.97,22.0,4.63,en,97.6,9.6
tout_le_panel,28,1044,45,700,1.86,332.0,4.31,fr,7.3,0.3
tout_le_panel,18,830,34,557,4.97,91.0,4.1,en,97.1,3.6
tout_le_panel,22,767,29,389,4.98,64.0,3.78,en,98.6,4.8
tout_le_panel,15,583,22,500,2.36,69.0,3.77,en,13.2,3.8
tout_le_panel,21,934,32,346,4.95,218.5,3.43,en,96.1,0.7
tout_le_panel,7,750,24,341,4.86,113.0,3.2,es,90.0,0.3
tout_le_panel,16,571,17,380,4.73,9.0,2.98,en,85.5,7.2
tout_le_panel,25,910,27,427,4.93,140.5,2.97,de,95.3,0.0
tout_le_panel,20,772,22,536,2.25,457.0,2.85,en,5.2,0.1
tout_le_panel,27,1252,33,492,4.93,164.0,2.64,fr,94.6,0.0
tout_le_panel,6,1151,25,488,4.9,193.0,2.17,en,91.1,0.0
tout_le_panel,9,886,19,242,4.96,220.0,2.14,en,97.3,0.0
tout_le_panel,8,693,14,156,4.94,76.0,2.02,en,94.4,0.6
tout_le_panel,3,499,9,187,4.93,278.0,1.8,en,94.2,0.0
tout_le_panel,23,991,17,341,2.59,813.0,1.72,fr,8.8,0.0
tout_le_panel,11,1257,20,558,4.76,225.0,1.59,de,80.4,0.0
tout_le_panel,2,1123,14,650,4.83,41.0,1.25,de,88.0,0.2
tout_le_panel,5,721,8,325,4.79,42.0,1.11,fr,85.0,0.1
tout_le_panel,4,823,9,505,4.78,278.0,1.09,en,81.7,0.0
tout_le_panel,14,578,5,430,4.83,47.0,0.87,en,85.6,0.0
tout_le_panel,17,899,4,268,4.64,304.0,0.44,fr,71.2,0.0
hors_enseignes,6,857,70,497,1.44,493.0,8.17,en,2.8,0.0
hors_enseignes,15,614,34,362,4.97,41.0,5.54,en,97.6,0.0
hors_enseignes,29,470,24,352,4.94,17.0,5.11,en,93.8,0.0
hors_enseignes,2,1091,49,532,4.98,220.0,4.49,en,98.2,0.0
hors_enseignes,24,326,13,232,4.92,27.0,3.99,en,93.6,0.0
hors_enseignes,7,1173,44,572,1.91,525.0,3.75,fr,3.8,0.0
hors_enseignes,0,1979,72,608,4.97,214.0,3.64,en,97.7,0.0
hors_enseignes,22,828,29,567,4.96,90.0,3.5,en,96.7,0.0
hors_enseignes,12,344,12,254,4.73,8.0,3.49,en,83.7,0.0
hors_enseignes,14,797,27,380,4.99,56.0,3.39,en,98.6,0.0
hors_enseignes,18,808,27,426,4.89,130.5,3.34,es,92.8,0.0
hors_enseignes,13,1185,38,411,4.97,80.0,3.21,en,98.0,0.0
hors_enseignes,27,594,19,508,2.19,72.0,3.2,en,11.1,0.0
hors_enseignes,20,752,22,527,2.24,437.5,2.93,en,4.9,0.0
hors_enseignes,21,859,25,391,4.96,157.0,2.91,de,96.3,0.0
hors_enseignes,9,1120,26,483,4.91,195.0,2.32,en,92.0,0.0
hors_enseignes,1,563,13,341,2.39,415.0,2.31,de,10.8,0.0
hors_enseignes,5,948,21,404,4.93,230.0,2.22,fr,94.9,0.0
