caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,117629,1762,149.8
has_photo,1,10184,89,87.4
reponse_avant_surveillance,0,56206,997,177.4
reponse_avant_surveillance,1,71607,854,119.3
langue_minoritaire_sur_la_fiche,0,125849,1836,145.9
langue_minoritaire_sur_la_fiche,1,1964,15,76.4
langue_etrangere_au_pays,0,125761,1836,146.0
langue_etrangere_au_pays,1,2052,15,73.1
langue_inconnue,0,97763,1419,145.1
langue_inconnue,1,30050,432,143.8
rythme_fiche_inconnu,0,127808,1849,144.7
rythme_fiche_inconnu,1,5,2,4000.0
star,1,7062,185,262.0
star,2,1968,19,96.5
star,3,2452,16,65.3
star,4,6774,41,60.5
star,5,109557,1590,145.1
bucket,large,65304,1078,165.1
bucket,mono,27189,245,90.1
bucket,small,35320,528,149.5
secteur,automotive,20031,157,78.4
secteur,food_beverage,24993,86,34.4
secteur,healthcare,18773,193,102.8
secteur,home_services,35264,1138,322.7
secteur,hospitality,12013,61,50.8
secteur,travel,8300,92,110.8
secteur,wellness_fitness,8439,124,146.9
situation_auteur,aucun_niveau,2376,167,702.9
situation_auteur,guide_etabli,118425,1540,130.0
situation_auteur,niveau_sans_avis_declare,7012,144,205.4
taille_texte,sans_texte,30423,432,142.0
taille_texte,texte_1_50,20294,301,148.3
taille_texte,texte_51_200,46214,652,141.1
taille_texte,texte_201p,30882,466,150.9
n_avis_meme_jour_auteur,1,127062,1772,139.5
n_avis_meme_jour_auteur,2,610,26,426.2
n_avis_meme_jour_auteur,3,63,9,1428.6
n_avis_meme_jour_auteur,4,72,44,6111.1
n_avis_meme_jour_auteur,6,6,0,0.0
