caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,190750,1455,76.3
has_photo,1,19920,121,60.7
reponse_avant_surveillance,0,95787,944,98.6
reponse_avant_surveillance,1,114883,632,55.0
langue_minoritaire_sur_la_fiche,0,193911,1493,77.0
langue_minoritaire_sur_la_fiche,1,16759,83,49.5
langue_etrangere_au_pays,0,189705,1464,77.2
langue_etrangere_au_pays,1,20965,112,53.4
langue_inconnue,0,153750,1275,82.9
langue_inconnue,1,56920,301,52.9
rythme_fiche_inconnu,0,210658,1574,74.7
rythme_fiche_inconnu,1,12,2,1666.7
star,1,13367,273,204.2
star,2,4505,33,73.3
star,3,6483,25,38.6
star,4,17485,52,29.7
star,5,168830,1193,70.7
bucket,large,90742,545,60.1
bucket,mono,48741,347,71.2
bucket,small,71187,684,96.1
secteur,automotive,28794,205,71.2
secteur,food_beverage,44496,156,35.1
secteur,healthcare,31318,216,69.0
secteur,home_services,28000,497,177.5
secteur,hospitality,39463,168,42.6
secteur,travel,14881,129,86.7
secteur,wellness_fitness,23718,205,86.4
situation_auteur,aucun_niveau,3585,195,543.9
situation_auteur,guide_etabli,193581,1232,63.6
situation_auteur,niveau_sans_avis_declare,13504,149,110.3
taille_texte,sans_texte,58089,304,52.3
taille_texte,texte_1_50,30819,233,75.6
taille_texte,texte_51_200,67753,530,78.2
taille_texte,texte_201p,54009,509,94.2
n_avis_meme_jour_auteur,1,209128,1550,74.1
n_avis_meme_jour_auteur,2,1356,21,154.9
n_avis_meme_jour_auteur,3,99,4,404.0
n_avis_meme_jour_auteur,4,56,0,0.0
n_avis_meme_jour_auteur,5,5,0,0.0
n_avis_meme_jour_auteur,6,12,0,0.0
n_avis_meme_jour_auteur,7,2,1,5000.0
n_avis_meme_jour_auteur,12,12,0,0.0
