caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,87616,381,43.5
has_photo,1,9881,36,36.4
reponse_avant_surveillance,0,49115,317,64.5
reponse_avant_surveillance,1,48382,100,20.7
langue_minoritaire_sur_la_fiche,0,82669,346,41.9
langue_minoritaire_sur_la_fiche,1,14828,71,47.9
langue_etrangere_au_pays,0,78551,317,40.4
langue_etrangere_au_pays,1,18946,100,52.8
langue_inconnue,0,66470,329,49.5
langue_inconnue,1,31027,88,28.4
rythme_fiche_inconnu,0,97490,417,42.8
rythme_fiche_inconnu,1,7,0,0.0
star,1,6890,105,152.4
star,2,2608,15,57.5
star,3,4105,10,24.4
star,4,11246,27,24.0
star,5,72648,260,35.8
bucket,large,40078,159,39.7
bucket,mono,21552,102,47.3
bucket,small,35867,156,43.5
secteur,automotive,8763,48,54.8
secteur,food_beverage,19503,70,35.9
secteur,healthcare,12545,23,18.3
secteur,home_services,7376,51,69.1
secteur,hospitality,27450,107,39.0
secteur,travel,6581,37,56.2
secteur,wellness_fitness,15279,81,53.0
situation_auteur,aucun_niveau,1443,73,505.9
situation_auteur,guide_etabli,88576,295,33.3
situation_auteur,niveau_sans_avis_declare,7478,49,65.5
taille_texte,sans_texte,31823,91,28.6
taille_texte,texte_1_50,12892,55,42.7
taille_texte,texte_51_200,27132,123,45.3
taille_texte,texte_201p,25650,148,57.7
n_avis_meme_jour_auteur,1,96575,408,42.2
n_avis_meme_jour_auteur,2,821,7,85.3
n_avis_meme_jour_auteur,3,48,1,208.3
n_avis_meme_jour_auteur,4,28,0,0.0
n_avis_meme_jour_auteur,5,5,0,0.0
n_avis_meme_jour_auteur,6,6,0,0.0
n_avis_meme_jour_auteur,7,2,1,5000.0
n_avis_meme_jour_auteur,12,12,0,0.0
