caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,205688,2466,119.9
has_photo,1,20069,129,64.3
reponse_avant_surveillance,0,105527,1512,143.3
reponse_avant_surveillance,1,120230,1083,90.1
langue_minoritaire_sur_la_fiche,0,208955,2500,119.6
langue_minoritaire_sur_la_fiche,1,16802,95,56.5
langue_etrangere_au_pays,0,204749,2471,120.7
langue_etrangere_au_pays,1,21008,124,59.0
langue_inconnue,0,164419,1847,112.3
langue_inconnue,1,61338,748,121.9
rythme_fiche_inconnu,0,225745,2593,114.9
rythme_fiche_inconnu,1,12,2,1666.7
star,1,14281,607,425.0
star,2,4586,44,95.9
star,3,6557,26,39.7
star,4,18020,68,37.7
star,5,182313,1850,101.5
bucket,large,105829,1564,147.8
bucket,mono,48741,347,71.2
bucket,small,71187,684,96.1
secteur,automotive,28794,205,71.2
secteur,food_beverage,44496,156,35.1
secteur,healthcare,31318,216,69.0
secteur,home_services,42640,1189,278.8
secteur,hospitality,39463,168,42.6
secteur,travel,14881,129,86.7
secteur,wellness_fitness,24165,532,220.2
situation_auteur,aucun_niveau,3903,319,817.3
situation_auteur,guide_etabli,207249,1977,95.4
situation_auteur,niveau_sans_avis_declare,14605,299,204.7
taille_texte,sans_texte,62507,751,120.1
taille_texte,texte_1_50,33249,405,121.8
taille_texte,texte_51_200,73446,821,111.8
taille_texte,texte_201p,56555,618,109.3
n_avis_meme_jour_auteur,1,224076,2504,111.7
n_avis_meme_jour_auteur,2,1434,35,244.1
n_avis_meme_jour_auteur,3,111,10,900.9
n_avis_meme_jour_auteur,4,100,44,4400.0
n_avis_meme_jour_auteur,5,5,0,0.0
n_avis_meme_jour_auteur,6,12,0,0.0
n_avis_meme_jour_auteur,7,7,2,2857.1
n_avis_meme_jour_auteur,12,12,0,0.0
