caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,9432,264,279.9
reponse_au_jalon,1,4784,98,204.8
has_photo,0,12900,342,265.1
has_photo,1,1316,20,152.0
langue_minoritaire_sur_la_fiche,0,12859,342,266.0
langue_minoritaire_sur_la_fiche,1,1357,20,147.4
star,1,1001,67,669.3
star,2,382,11,288.0
star,3,519,6,115.6
star,4,1263,18,142.5
star,5,11051,260,235.3
bucket,large,5866,97,165.4
bucket,mono,3475,75,215.8
bucket,small,4875,190,389.7
secteur,automotive,2023,57,281.8
secteur,food_beverage,3079,42,136.4
secteur,healthcare,1734,57,328.7
secteur,home_services,1683,88,522.9
secteur,hospitality,3175,50,157.5
secteur,travel,1053,27,256.4
secteur,wellness_fitness,1469,41,279.1
situation_auteur,aucun_niveau,1139,76,667.3
situation_auteur,guide_etabli,11742,246,209.5
situation_auteur,niveau_sans_avis_declare,1335,40,299.6
taille_texte,sans_texte,3724,79,212.1
taille_texte,texte_1_50,2073,45,217.1
taille_texte,texte_51_200,4532,116,256.0
taille_texte,texte_201p,3887,122,313.9
region,Europe,6611,111,167.9
region,US,7605,251,330.0
n_avis_meme_jour_auteur,1,14106,354,251.0
n_avis_meme_jour_auteur,2,94,5,531.9
n_avis_meme_jour_auteur,3,12,3,2500.0
n_avis_meme_jour_auteur,4,4,0,0.0
