caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,103134,1074,104.1
has_photo,1,10039,85,84.7
reponse_avant_surveillance,0,46672,627,134.3
reponse_avant_surveillance,1,66501,532,80.0
langue_minoritaire_sur_la_fiche,0,111242,1147,103.1
langue_minoritaire_sur_la_fiche,1,1931,12,62.1
langue_etrangere_au_pays,0,111154,1147,103.2
langue_etrangere_au_pays,1,2019,12,59.4
langue_inconnue,0,87280,946,108.4
langue_inconnue,1,25893,213,82.3
rythme_fiche_inconnu,0,113168,1157,102.2
rythme_fiche_inconnu,1,5,2,4000.0
star,1,6477,168,259.4
star,2,1897,18,94.9
star,3,2378,15,63.1
star,4,6239,25,40.1
star,5,96182,933,97.0
bucket,large,50664,386,76.2
bucket,mono,27189,245,90.1
bucket,small,35320,528,149.5
secteur,automotive,20031,157,78.4
secteur,food_beverage,24993,86,34.4
secteur,healthcare,18773,193,102.8
secteur,home_services,20624,446,216.3
secteur,hospitality,12013,61,50.8
secteur,travel,8300,92,110.8
secteur,wellness_fitness,8439,124,146.9
situation_auteur,aucun_niveau,2142,122,569.6
situation_auteur,guide_etabli,105005,937,89.2
situation_auteur,niveau_sans_avis_declare,6026,100,165.9
taille_texte,sans_texte,26266,213,81.1
taille_texte,texte_1_50,17927,178,99.3
taille_texte,texte_51_200,40621,407,100.2
taille_texte,texte_201p,28359,361,127.3
n_avis_meme_jour_auteur,1,112553,1142,101.5
n_avis_meme_jour_auteur,2,535,14,261.7
n_avis_meme_jour_auteur,3,51,3,588.2
n_avis_meme_jour_auteur,4,28,0,0.0
n_avis_meme_jour_auteur,6,6,0,0.0
