variable,gain_brut,part_gain_pct
log_age_vague1,783.7728271484375,3.67
age_a_la_vague1_j,650.6043090820312,3.04
star,558.5741577148438,2.61
mot_zu,478.9463806152344,2.24
secteur_food_beverage,448.7955322265625,2.1
mot_avec,440.10906982421875,2.06
mot_il,392.489013671875,1.84
texte_court_generique,381.09765625,1.78
reponse_avant_surveillance,358.66851806640625,1.68
secteur_hospitality,357.9513854980469,1.67
etoiles_5,347.6180114746094,1.63
secteur_healthcare,338.01275634765625,1.58
mot_nicht,326.2655334472656,1.53
mot_le,320.44683837890625,1.5
profil_guide_etabli,317.39581298828125,1.48
texte_presence_emoji,316.41070556640625,1.48
texte_pts_interrogation,304.1403503417969,1.42
secteur_travel,303.05511474609375,1.42
mot_les,299.93817138671875,1.4
mot_sehr,296.3852233886719,1.39
etoiles_4,294.1224670410156,1.38
log_ratio_pic_journalier_fiche,288.486572265625,1.35
taille_mono,281.6959228515625,1.32
mot_wir,276.8896179199219,1.29
texte_part_majuscules,276.7184143066406,1.29
mot_je,274.61639404296875,1.28
taille_small,272.9453430175781,1.28
mot_camping,268.5880432128906,1.26
reviewer_review_count,266.6829528808594,1.25
texte_longueur_moy_mot,260.260498046875,1.22
mot_pas,259.45849609375,1.21
mot_der,258.3346252441406,1.21
etoiles_3,258.1065979003906,1.21
secteur_home_services,249.0299072265625,1.16
mot_und,247.90147399902344,1.16
mot_est,246.96702575683594,1.16
mot_muy,243.47784423828125,1.14
mot_du,241.78810119628906,1.13
mot_qui,238.8043670654297,1.12
langue_minoritaire_sur_la_fiche,238.07579040527344,1.11
mot_une,232.8681182861328,1.09
mot_super,231.3175811767578,1.08
mot_pour,229.04232788085938,1.07
mot_en,225.63897705078125,1.06
mot_fr,224.56182861328125,1.05
texte_mots,224.5148468017578,1.05
mot_ist,220.15309143066406,1.03
mot_ein,216.98101806640625,1.01
mot_mit,216.69580078125,1.01
texte_chars,215.698486328125,1.01
mot_el,214.14744567871094,1.0
mot_et,209.8628387451172,0.98
mot_una,209.7107696533203,0.98
mot_la,207.38246154785156,0.97
secteur_wellness_fitness,206.77284240722656,0.97
mot_es,206.348876953125,0.97
mot_war,204.37025451660156,0.96
mot_auch,203.86447143554688,0.95
mot_hotel,203.37142944335938,0.95
mot_merci,191.33326721191406,0.89
mot_se,189.84368896484375,0.89
mot_au,187.55960083007812,0.88
mot_service,186.4110107421875,0.87
mot_dans,184.4468536376953,0.86
mot_trs,180.6431121826172,0.84
texte_pts_exclamation,177.32003784179688,0.83
has_photo,177.29429626464844,0.83
mot_die,176.9678192138672,0.83
profil_niveau_sans_avis_declare,174.9332733154297,0.82
mot_das,171.208251953125,0.8
log_rc,168.959716796875,0.79
mot_ce,167.7618865966797,0.78
mot_personal,167.6737823486328,0.78
mot_que,166.91123962402344,0.78
mot_nous,162.67254638671875,0.76
mot_ich,162.51820373535156,0.76
mot_man,160.71878051757812,0.75
mot_da,159.55126953125,0.75
texte_discordance_ton_note,155.69668579101562,0.73
mot_bien,149.36892700195312,0.7
n_avis_meme_jour_auteur,139.5991973876953,0.65
etoiles_2,134.9200439453125,0.63
mot_des,120.86040496826172,0.57
