variable,gain_brut,part_gain_pct
log_age_vague1,922.1470336914062,5.7
secteur_home_services,853.5148315429688,5.28
age_a_la_vague1_j,806.2628173828125,4.99
secteur_food_beverage,571.9990234375,3.54
taille_small,391.6393127441406,2.42
star,390.30322265625,2.41
secteur_hospitality,328.4854431152344,2.03
taille_mono,293.4223937988281,1.81
reponse_avant_surveillance,267.9150695800781,1.66
mot_excellent,254.6936798095703,1.58
log_ratio_pic_journalier_fiche,237.7053985595703,1.47
mot_new,230.51351928710938,1.43
secteur_travel,217.00990295410156,1.34
etoiles_4,201.06752014160156,1.24
texte_mots,198.44361877441406,1.23
texte_chars,197.8297576904297,1.22
mot_feel,191.74166870117188,1.19
reviewer_review_count,186.82553100585938,1.16
secteur_wellness_fitness,185.40489196777344,1.15
n_avis_meme_jour_auteur,185.07369995117188,1.14
profil_guide_etabli,181.03707885742188,1.12
mot_food,178.9460906982422,1.11
mot_helpful,178.8767547607422,1.11
etoiles_5,176.91160583496094,1.09
mot_kind,174.3031005859375,1.08
mot_just,174.11923217773438,1.08
mot_professional,173.82115173339844,1.08
mot_time,172.96524047851562,1.07
etoiles_3,171.93643188476562,1.06
mot_best,170.9940185546875,1.06
secteur_healthcare,166.29917907714844,1.03
mot_like,166.17324829101562,1.03
texte_part_majuscules,164.68905639648438,1.02
mot_knowledgeable,160.61805725097656,0.99
mot_thorough,159.87454223632812,0.99
texte_court_generique,157.778076171875,0.98
mot_staff,157.66253662109375,0.98
mot_day,157.31558227539062,0.97
mot_thank,155.6094512939453,0.96
mot_work,152.903564453125,0.95
texte_pts_interrogation,152.60379028320312,0.94
mot_place,152.5413818359375,0.94
texte_longueur_moy_mot,152.1392822265625,0.94
has_photo,150.93057250976562,0.93
mot_took,150.74508666992188,0.93
mot_awesome,149.49327087402344,0.92
mot_went,148.79832458496094,0.92
mot_good,148.2201690673828,0.92
mot_ve,146.25904846191406,0.9
mot_got,145.30319213867188,0.9
mot_job,144.7956085205078,0.9
mot_car,142.12342834472656,0.88
mot_server,140.85992431640625,0.87
langue_minoritaire_sur_la_fiche,138.7957000732422,0.86
mot_super,137.21038818359375,0.85
texte_discordance_ton_note,137.18211364746094,0.85
mot_came,136.84429931640625,0.85
mot_wonderful,136.76156616210938,0.85
texte_pts_exclamation,136.7413787841797,0.85
mot_nice,134.87855529785156,0.83
mot_experience,133.77749633789062,0.83
mot_come,133.21502685546875,0.82
mot_friendly,132.4124755859375,0.82
mot_care,131.75997924804688,0.82
mot_customer,130.559326171875,0.81
log_rc,129.75799560546875,0.8
profil_niveau_sans_avis_declare,128.6501007080078,0.8
log_burst,127.81401062011719,0.79
mot_definitely,127.53594207763672,0.79
mot_home,126.88927459716797,0.78
mot_did,126.82530212402344,0.78
mot_service,126.38484954833984,0.78
mot_recommend,126.38336944580078,0.78
mot_people,125.248291015625,0.77
mot_clean,124.32645416259766,0.77
mot_great,122.19638061523438,0.76
mot_love,120.33049774169922,0.74
mot_amazing,120.18756103515625,0.74
mot_really,116.61177062988281,0.72
mot_highly,112.42133331298828,0.7
mot_make,96.15383911132812,0.59
texte_presence_emoji,94.6871566772461,0.59
mot_sure,92.5734634399414,0.57
etoiles_2,11.956607818603516,0.07
