variable,gain_brut,part_gain_pct
secteur_home_services,720.7282104492188,3.93
log_age_vague1,686.8145141601562,3.74
age_a_la_vague1_j,621.4639282226562,3.39
star,600.4879150390625,3.27
secteur_food_beverage,543.1294555664062,2.96
taille_mono,482.654296875,2.63
taille_small,465.8367919921875,2.54
secteur_wellness_fitness,386.57110595703125,2.11
reponse_avant_surveillance,378.5749206542969,2.06
mot_excellent,298.9018859863281,1.63
secteur_hospitality,293.0424499511719,1.6
log_burst,281.11126708984375,1.53
profil_guide_etabli,270.5002746582031,1.47
log_ratio_pic_journalier_fiche,260.58538818359375,1.42
mot_helpful,253.28857421875,1.38
secteur_healthcare,250.08763122558594,1.36
reviewer_review_count,239.33274841308594,1.3
texte_discordance_ton_note,226.0122833251953,1.23
mot_came,221.0181884765625,1.2
texte_mots,217.45213317871094,1.19
texte_pts_interrogation,216.70944213867188,1.18
has_photo,211.78082275390625,1.15
texte_chars,211.16213989257812,1.15
mot_like,210.7362823486328,1.15
secteur_travel,209.44593811035156,1.14
etoiles_5,206.3822784423828,1.12
mot_professional,204.9710235595703,1.12
mot_experience,204.1758270263672,1.11
mot_great,203.38436889648438,1.11
n_avis_meme_jour_auteur,202.84230041503906,1.11
mot_good,199.1476593017578,1.09
mot_place,194.0173797607422,1.06
mot_staff,193.77044677734375,1.06
langue_minoritaire_sur_la_fiche,192.5071563720703,1.05
texte_part_majuscules,192.48678588867188,1.05
mot_amazing,190.5778045654297,1.04
etoiles_4,190.03927612304688,1.04
texte_longueur_moy_mot,189.81320190429688,1.03
mot_awesome,185.73690795898438,1.01
mot_make,184.6610107421875,1.01
mot_thank,184.5940399169922,1.01
mot_knowledgeable,183.9970703125,1.0
log_rc,183.40234375,1.0
mot_did,182.97042846679688,1.0
mot_definitely,180.9251708984375,0.99
mot_wonderful,180.89791870117188,0.99
mot_time,178.26512145996094,0.97
mot_ve,178.2432861328125,0.97
mot_got,177.62258911132812,0.97
mot_love,177.53887939453125,0.97
mot_food,176.63888549804688,0.96
mot_care,174.35714721679688,0.95
mot_service,173.61322021484375,0.95
mot_super,169.92250061035156,0.93
mot_went,169.5834197998047,0.92
mot_really,169.22799682617188,0.92
mot_recommend,169.1388397216797,0.92
mot_job,168.6491241455078,0.92
mot_friendly,166.92857360839844,0.91
mot_easy,163.8857879638672,0.89
mot_kind,163.37644958496094,0.89
mot_nice,160.2962188720703,0.87
mot_customer,159.85520935058594,0.87
mot_best,158.6954803466797,0.86
mot_just,158.17230224609375,0.86
mot_car,157.68955993652344,0.86
mot_absolutely,153.71522521972656,0.84
mot_people,153.23849487304688,0.84
mot_day,149.90223693847656,0.82
texte_pts_exclamation,148.4593505859375,0.81
mot_work,148.24493408203125,0.81
mot_feel,144.7168731689453,0.79
mot_way,142.46563720703125,0.78
texte_court_generique,139.9727325439453,0.76
mot_come,136.5138397216797,0.74
mot_sure,134.1616668701172,0.73
mot_new,133.85301208496094,0.73
mot_clean,131.41790771484375,0.72
mot_highly,125.0004653930664,0.68
mot_took,121.23100280761719,0.66
etoiles_2,106.05531311035156,0.58
profil_niveau_sans_avis_declare,84.50013732910156,0.46
texte_presence_emoji,33.11295700073242,0.18
