variable,gain_brut,part_gain_pct
star,89.36705780029297,10.16
secteur_home_services,64.66144561767578,7.35
age_a_la_vague1_j,62.476810455322266,7.1
n_avis_meme_jour_auteur,46.92170715332031,5.33
region_US,33.486549377441406,3.81
secteur_wellness_fitness,32.93809127807617,3.74
profil_guide_etabli,29.460247039794922,3.35
taille_mono,21.18727684020996,2.41
log_ratio_pic_journalier_fiche,21.05290412902832,2.39
secteur_food_beverage,20.47808265686035,2.33
etoiles_5,16.57207489013672,1.88
secteur_hospitality,13.27730941772461,1.51
reponse_avant_surveillance,11.410674095153809,1.3
taille_small,11.12170696258545,1.26
mot_food,10.496712684631348,1.19
texte_court_generique,10.391351699829102,1.18
reviewer_review_count,9.961243629455566,1.13
secteur_healthcare,9.84301471710205,1.12
mot_came,8.664275169372559,0.99
mot_thank,8.286355972290039,0.94
mot_recommend,8.238604545593262,0.94
mot_care,7.852245330810547,0.89
mot_nice,7.70136022567749,0.88
etoiles_2,7.572303295135498,0.86
secteur_travel,7.391222953796387,0.84
mot_helpful,7.374397277832031,0.84
texte_presence_emoji,7.232605934143066,0.82
texte_mots,7.177513122558594,0.82
mot_like,7.147917747497559,0.81
mot_hotel,7.068187713623047,0.8
mot_just,6.955780506134033,0.79
etoiles_4,6.76596212387085,0.77
mot_definitely,6.763980388641357,0.77
mot_clean,6.665969371795654,0.76
mot_car,6.567155361175537,0.75
texte_chars,6.551384925842285,0.74
mot_pour,6.439733505249023,0.73
mot_excellent,6.427554130554199,0.73
mot_highly,6.406798839569092,0.73
mot_professional,6.1235480308532715,0.7
mot_est,6.072651386260986,0.69
mot_amazing,6.024870872497559,0.69
mot_work,5.9795074462890625,0.68
mot_job,5.7616167068481445,0.66
texte_longueur_moy_mot,5.701786518096924,0.65
mot_did,5.652797222137451,0.64
texte_pts_interrogation,5.589351177215576,0.64
mot_great,5.574061393737793,0.63
texte_pts_exclamation,5.5647053718566895,0.63
has_photo,5.544857978820801,0.63
mot_das,5.435973644256592,0.62
mot_staff,5.42524528503418,0.62
mot_time,5.381968021392822,0.61
mot_es,5.346368312835693,0.61
texte_part_majuscules,5.343711853027344,0.61
mot_experience,5.339498043060303,0.61
mot_super,5.326545238494873,0.61
mot_la,5.3050408363342285,0.6
profil_niveau_sans_avis_declare,5.300349235534668,0.6
mot_die,5.20444393157959,0.59
mot_und,5.164576530456543,0.59
etoiles_3,5.072590351104736,0.58
mot_et,5.034310817718506,0.57
mot_le,4.917107582092285,0.56
mot_got,4.891424179077148,0.56
mot_sehr,4.884130477905273,0.56
mot_place,4.8500847816467285,0.55
mot_knowledgeable,4.835577011108398,0.55
mot_best,4.758266925811768,0.54
mot_really,4.734793663024902,0.54
texte_discordance_ton_note,4.662487030029297,0.53
mot_took,4.66077995300293,0.53
mot_good,4.649811267852783,0.53
mot_service,4.373742580413818,0.5
langue_minoritaire_sur_la_fiche,4.372128009796143,0.5
mot_trs,4.067570209503174,0.46
mot_friendly,4.015629291534424,0.46
mot_en,4.015459060668945,0.46
mot_que,3.9371800422668457,0.45
mot_les,3.1237080097198486,0.36
mot_je,2.6738357543945312,0.3
mot_der,2.4782016277313232,0.28
