variable,gain_brut,part_gain_pct
age_a_la_vague1_j,36.28058624267578,5.65
secteur_home_services,32.209678649902344,5.01
profil_niveau_sans_avis_declare,31.019208908081055,4.83
secteur_food_beverage,22.935123443603516,3.57
profil_guide_etabli,21.063941955566406,3.28
region_US,20.44158935546875,3.18
taille_small,19.294578552246094,3.0
star,19.096529006958008,2.97
reponse_avant_surveillance,16.678133010864258,2.6
secteur_healthcare,12.270153045654297,1.91
taille_mono,12.255614280700684,1.91
secteur_wellness_fitness,11.878128051757812,1.85
reviewer_review_count,9.801887512207031,1.53
log_ratio_pic_journalier_fiche,8.500919342041016,1.32
n_avis_meme_jour_auteur,8.259018898010254,1.29
mot_und,8.145133018493652,1.27
mot_food,8.026390075683594,1.25
etoiles_5,7.937033653259277,1.24
texte_presence_emoji,7.713647842407227,1.2
mot_really,7.670137882232666,1.19
mot_nice,7.048582077026367,1.1
mot_staff,7.036165237426758,1.1
secteur_travel,7.031785011291504,1.09
mot_work,6.7200212478637695,1.05
mot_car,6.691599369049072,1.04
mot_care,6.663703918457031,1.04
mot_et,6.586067199707031,1.03
mot_excellent,6.531452655792236,1.02
mot_friendly,6.250539302825928,0.97
mot_time,6.201454162597656,0.97
mot_professional,6.138865947723389,0.96
texte_chars,6.136784553527832,0.96
mot_est,6.123004913330078,0.95
secteur_hospitality,6.080077648162842,0.95
texte_court_generique,5.950511932373047,0.93
mot_pour,5.940546989440918,0.92
etoiles_4,5.926702499389648,0.92
mot_helpful,5.769765377044678,0.9
mot_highly,5.765838146209717,0.9
etoiles_2,5.714760780334473,0.89
texte_part_majuscules,5.636717319488525,0.88
mot_des,5.5426483154296875,0.86
mot_recommend,5.5294108390808105,0.86
mot_hotel,5.465510368347168,0.85
mot_good,5.355218887329102,0.83
mot_just,5.248188495635986,0.82
texte_longueur_moy_mot,5.243539333343506,0.82
texte_mots,5.242147445678711,0.82
mot_day,5.238079071044922,0.82
mot_experience,5.197101593017578,0.81
mot_got,5.166405200958252,0.8
mot_thank,5.147012233734131,0.8
texte_pts_exclamation,4.935871124267578,0.77
mot_die,4.927646636962891,0.77
mot_job,4.851357460021973,0.76
mot_great,4.8323774337768555,0.75
mot_definitely,4.8133039474487305,0.75
texte_discordance_ton_note,4.8033013343811035,0.75
mot_amazing,4.79304313659668,0.75
mot_knowledgeable,4.7466864585876465,0.74
mot_es,4.715108394622803,0.73
mot_que,4.671537399291992,0.73
langue_minoritaire_sur_la_fiche,4.670491695404053,0.73
mot_best,4.61376953125,0.72
mot_service,4.595195293426514,0.72
mot_das,4.574831962585449,0.71
has_photo,4.551156520843506,0.71
mot_like,4.52168607711792,0.7
mot_did,4.51610803604126,0.7
texte_pts_interrogation,4.410789489746094,0.69
mot_clean,4.196929931640625,0.65
mot_les,4.195600509643555,0.65
mot_le,4.1616315841674805,0.65
mot_trs,4.126218795776367,0.64
mot_je,4.110021114349365,0.64
mot_la,3.9675960540771484,0.62
mot_super,3.8114583492279053,0.59
etoiles_3,3.7775416374206543,0.59
mot_en,3.48641300201416,0.54
mot_place,3.4608283042907715,0.54
mot_der,3.435596227645874,0.53
mot_sehr,3.380284309387207,0.53
