var1,var2,gain_interaction
age_a_la_vague1_j,star,84806.02537916
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,25098.9127969
log_age_vague1,star,21331.733197
age_a_la_vague1_j,reviewer_review_count,21164.646550022
reviewer_review_count,star,15526.535821899999
log_ratio_pic_journalier_fiche,reviewer_review_count,14942.410817
secteur_wellness_fitness,star,12440.3284025
age_a_la_vague1_j,secteur_wellness_fitness,10063.0457057
log_age_vague1,log_ratio_pic_journalier_fiche,9784.435514
profil_guide_etabli,star,8514.99071
log_ratio_pic_journalier_fiche,secteur_wellness_fitness,8363.918447
log_age_vague1,reviewer_review_count,8100.7009509399995
log_ratio_pic_journalier_fiche,star,7328.8716905
reviewer_review_count,secteur_healthcare,6931.40400375
log_age_vague1,secteur_wellness_fitness,6682.194718
reviewer_review_count,texte_part_majuscules,5850.491892999999
log_ratio_pic_journalier_fiche,texte_part_majuscules,5245.9265883
age_a_la_vague1_j,texte_part_majuscules,5190.179481
log_ratio_pic_journalier_fiche,texte_mots,4687.109086
reviewer_review_count,texte_chars,3978.5819964
mot_und,star,3948.38037963
reviewer_review_count,texte_longueur_moy_mot,3922.248054
age_a_la_vague1_j,mot_il,3908.699007
age_a_la_vague1_j,secteur_food_beverage,3889.44529
log_ratio_pic_journalier_fiche,secteur_food_beverage,3857.28268
log_ratio_pic_journalier_fiche,profil_guide_etabli,3542.6759074
texte_chars,texte_mots,3521.374608
texte_longueur_moy_mot,texte_part_majuscules,3154.264569
mot_il,reviewer_review_count,3050.1126
log_ratio_pic_journalier_fiche,texte_chars,3026.13441385
log_ratio_pic_journalier_fiche,mot_und,2817.933758
star,texte_mots,2755.622014
age_a_la_vague1_j,log_rc,2709.405675547
age_a_la_vague1_j,mot_je,2672.4249793
age_a_la_vague1_j,etoiles_5,2607.735678605
star,texte_part_majuscules,2600.2922160000003
log_ratio_pic_journalier_fiche,mot_hotel,2589.578914
mot_zu,star,2544.81207
log_age_vague1,mot_il,2522.394015
age_a_la_vague1_j,texte_longueur_moy_mot,2499.57141284
reponse_avant_surveillance,reviewer_review_count,2495.43109
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,2269.988917
log_ratio_pic_journalier_fiche,secteur_travel,2259.87491
age_a_la_vague1_j,taille_small,2219.503334
log_ratio_pic_journalier_fiche,secteur_hospitality,2148.034656
reponse_avant_surveillance,secteur_food_beverage,2142.89505
age_a_la_vague1_j,mot_une,2067.66097
mot_je,reviewer_review_count,2065.72401
log_ratio_pic_journalier_fiche,taille_mono,1960.908353
age_a_la_vague1_j,texte_mots,1947.0063339
age_a_la_vague1_j,texte_chars,1892.66603744
log_ratio_pic_journalier_fiche,reponse_avant_surveillance,1873.214674
mot_trs,mot_une,1860.6267699999999
profil_guide_etabli,texte_part_majuscules,1859.12404
log_ratio_pic_journalier_fiche,secteur_healthcare,1850.76101
log_ratio_pic_journalier_fiche,log_rc,1829.6450733000001
log_age_vague1,texte_pts_exclamation,1792.2477927999998
log_age_vague1,texte_part_majuscules,1790.426639
age_a_la_vague1_j,mot_camping,1787.5288242
secteur_healthcare,star,1773.79935
mot_il,star,1760.47347
age_a_la_vague1_j,mot_nicht,1724.0880544
secteur_wellness_fitness,texte_part_majuscules,1718.68489
profil_guide_etabli,profil_niveau_sans_avis_declare,1713.53171
age_a_la_vague1_j,secteur_hospitality,1711.90362
age_a_la_vague1_j,mot_super,1659.2315183
reviewer_review_count,texte_pts_exclamation,1618.101308
age_a_la_vague1_j,mot_und,1570.104128
texte_chars,texte_longueur_moy_mot,1518.308104
age_a_la_vague1_j,mot_zu,1506.0010682
mot_il,mot_nicht,1497.24381
texte_mots,texte_pts_exclamation,1481.1954620000001
etoiles_3,reviewer_review_count,1464.1758085000001
log_ratio_pic_journalier_fiche,mot_que,1431.967072
etoiles_4,etoiles_5,1414.7041
mot_und,texte_longueur_moy_mot,1413.55081
star,texte_chars,1405.2506665
log_ratio_pic_journalier_fiche,mot_dans,1401.46622
reviewer_review_count,secteur_wellness_fitness,1395.9619348699998
langue_minoritaire_sur_la_fiche,log_ratio_pic_journalier_fiche,1334.71742
age_a_la_vague1_j,secteur_healthcare,1319.0115827
reviewer_review_count,secteur_food_beverage,1312.63526
langue_minoritaire_sur_la_fiche,texte_longueur_moy_mot,1293.81656
mot_wir,reviewer_review_count,1280.7312082
reviewer_review_count,texte_mots,1278.209503
mot_avec,mot_et,1274.59476
log_age_vague1,mot_zu,1245.083929662
age_a_la_vague1_j,profil_niveau_sans_avis_declare,1243.3665270000001
