var1,var2,gain_interaction
age_a_la_vague1_j,star,54419.623724903
age_a_la_vague1_j,reviewer_review_count,41745.167897695
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,18168.3733376
reviewer_review_count,star,16477.1200516
reviewer_review_count,texte_longueur_moy_mot,15396.02068
log_ratio_pic_journalier_fiche,reviewer_review_count,13994.4650087
log_age_vague1,star,10736.5554144
log_age_vague1,reviewer_review_count,10361.95951495
reviewer_review_count,texte_part_majuscules,9366.7513592
log_ratio_pic_journalier_fiche,star,8600.509689055
secteur_healthcare,star,8175.66028
star,texte_part_majuscules,8011.39675807
age_a_la_vague1_j,texte_longueur_moy_mot,7885.724465264
age_a_la_vague1_j,texte_part_majuscules,7775.148973888
reviewer_review_count,secteur_healthcare,7427.53150226
texte_longueur_moy_mot,texte_part_majuscules,7409.000547
log_age_vague1,log_ratio_pic_journalier_fiche,7078.8593785
age_a_la_vague1_j,etoiles_5,6297.5600484
log_age_vague1,mot_il,5969.867993
log_ratio_pic_journalier_fiche,texte_chars,5963.6457946
log_ratio_pic_journalier_fiche,taille_small,5262.288187
log_ratio_pic_journalier_fiche,texte_part_majuscules,5225.187096
age_a_la_vague1_j,secteur_healthcare,5149.6696289
age_a_la_vague1_j,secteur_hospitality,5084.32027345
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,5053.037449
age_a_la_vague1_j,mot_il,4884.0764
age_a_la_vague1_j,texte_mots,4711.6777486
age_a_la_vague1_j,secteur_food_beverage,4703.89178
profil_guide_etabli,star,4170.20784
age_a_la_vague1_j,profil_guide_etabli,3979.334183
log_ratio_pic_journalier_fiche,texte_mots,3811.5016045
star,texte_longueur_moy_mot,3801.24852
mot_en,star,3735.71507
log_ratio_pic_journalier_fiche,mot_camping,3584.1063599999998
mot_il,star,3460.97688
log_age_vague1,texte_part_majuscules,3321.5886837
age_a_la_vague1_j,texte_chars,3286.8690509
mot_camping,reviewer_review_count,3286.4078198
mot_il,reviewer_review_count,3232.22955
log_age_vague1,secteur_healthcare,3155.4596226
log_age_vague1,texte_longueur_moy_mot,3132.3094286
etoiles_4,mot_je,3080.0792
reponse_avant_surveillance,reviewer_review_count,3043.39759822
log_ratio_pic_journalier_fiche,secteur_food_beverage,3024.09625
star,texte_mots,2993.073159
mot_wir,reviewer_review_count,2959.3169654
texte_mots,texte_part_majuscules,2811.136516
age_a_la_vague1_j,taille_small,2804.8738237
texte_chars,texte_mots,2761.78229
log_ratio_pic_journalier_fiche,mot_il,2548.33164
secteur_hospitality,taille_small,2513.98392
texte_chars,texte_part_majuscules,2472.43573
reviewer_review_count,texte_mots,2449.846911
age_a_la_vague1_j,mot_super,2443.109096
log_ratio_pic_journalier_fiche,mot_le,2391.144016
age_a_la_vague1_j,mot_pas,2380.481025
age_a_la_vague1_j,mot_je,2346.1045205
mot_camping,secteur_hospitality,2274.15691
log_ratio_pic_journalier_fiche,secteur_healthcare,2245.023436
etoiles_4,reviewer_review_count,2242.17398
etoiles_5,reviewer_review_count,2237.5408549999997
reviewer_review_count,texte_chars,2198.321888
age_a_la_vague1_j,mot_en,2166.54101705
log_ratio_pic_journalier_fiche,texte_pts_exclamation,2145.143068
mot_en,texte_part_majuscules,2130.15713
mot_je,star,2115.83014
log_ratio_pic_journalier_fiche,log_rc,2081.43457
profil_guide_etabli,profil_niveau_sans_avis_declare,2067.55792
age_a_la_vague1_j,mot_les,2056.9734143
texte_chars,texte_longueur_moy_mot,2036.6780840000001
log_ratio_pic_journalier_fiche,mot_et,1999.960773
mot_nicht,reponse_avant_surveillance,1999.3781
log_age_vague1,secteur_food_beverage,1994.8398781800001
log_ratio_pic_journalier_fiche,secteur_home_services,1983.76819
mot_je,reviewer_review_count,1949.036914
age_a_la_vague1_j,mot_nicht,1937.20732
mot_camping,texte_longueur_moy_mot,1935.36598
mot_und,star,1908.20242
reviewer_review_count,texte_presence_emoji,1879.4303317000001
mot_pas,texte_part_majuscules,1847.340207
mot_sehr,reviewer_review_count,1846.44864
age_a_la_vague1_j,texte_presence_emoji,1819.07151
mot_et,reponse_avant_surveillance,1766.7076275999998
log_ratio_pic_journalier_fiche,reponse_avant_surveillance,1754.34606
mot_en,reviewer_review_count,1729.886076
reponse_avant_surveillance,texte_longueur_moy_mot,1726.7904947
age_a_la_vague1_j,mot_sehr,1679.0499877
reponse_avant_surveillance,texte_chars,1667.8540399999997
texte_mots,texte_pts_exclamation,1650.986599
star,texte_pts_interrogation,1598.34457
mot_et,texte_chars,1597.25158
log_rc,star,1594.972214
log_age_vague1,mot_nicht,1577.0484960000001
mot_je,mot_le,1564.276217
mot_muy,secteur_hospitality,1557.1653
