var1,var2,gain_interaction
age_a_la_vague1_j,secteur_home_services,101441.79008295
log_age_vague1,secteur_home_services,40207.7212228
secteur_home_services,star,25257.51956
age_a_la_vague1_j,secteur_food_beverage,23537.68673595
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,16096.639020479999
log_ratio_pic_journalier_fiche,star,11114.4898
log_ratio_pic_journalier_fiche,taille_small,10674.038840000001
log_ratio_pic_journalier_fiche,reviewer_review_count,10531.21783287
log_ratio_pic_journalier_fiche,secteur_food_beverage,9958.9971565
secteur_home_services,taille_small,9487.76949
age_a_la_vague1_j,taille_small,9179.58427937
log_age_vague1,log_ratio_pic_journalier_fiche,8930.14746279
secteur_food_beverage,taille_small,8768.35629
age_a_la_vague1_j,reviewer_review_count,7145.79040242
secteur_home_services,texte_chars,6979.039019
age_a_la_vague1_j,mot_excellent,6617.4864099999995
reviewer_review_count,secteur_home_services,6267.0789700000005
log_ratio_pic_journalier_fiche,secteur_home_services,6025.2258747
log_ratio_pic_journalier_fiche,texte_chars,5892.6886184
age_a_la_vague1_j,star,5807.5200116999995
reponse_avant_surveillance,secteur_home_services,5374.22381
log_age_vague1,taille_small,4994.6795999999995
age_a_la_vague1_j,texte_chars,4916.089142
secteur_food_beverage,secteur_hospitality,4762.10192
secteur_home_services,texte_longueur_moy_mot,4703.59586
secteur_home_services,texte_part_majuscules,4584.285645
texte_longueur_moy_mot,texte_part_majuscules,4503.464815
reviewer_review_count,star,4312.46131541
log_ratio_pic_journalier_fiche,reponse_avant_surveillance,4278.83771
log_ratio_pic_journalier_fiche,taille_mono,4209.7843250000005
reviewer_review_count,secteur_food_beverage,4093.15375
log_ratio_pic_journalier_fiche,secteur_hospitality,3954.14257
age_a_la_vague1_j,texte_part_majuscules,3936.1044616
reviewer_review_count,taille_small,3933.51639
age_a_la_vague1_j,texte_longueur_moy_mot,3906.5984181
secteur_travel,texte_chars,3846.05078
star,taille_mono,3740.5575
log_age_vague1,secteur_food_beverage,3542.14842
star,texte_longueur_moy_mot,3534.578893
reponse_avant_surveillance,secteur_healthcare,3512.05554
star,taille_small,3403.46914
log_age_vague1,reviewer_review_count,3400.65602944
reviewer_review_count,texte_part_majuscules,3284.484746
log_age_vague1,star,3202.836496
secteur_home_services,taille_mono,3102.8019
log_ratio_pic_journalier_fiche,texte_mots,3054.145525
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,2921.508809
secteur_food_beverage,texte_mots,2824.93655
reviewer_review_count,texte_chars,2732.8155875
log_ratio_pic_journalier_fiche,texte_part_majuscules,2688.1495999999997
age_a_la_vague1_j,texte_mots,2638.534208
secteur_hospitality,texte_part_majuscules,2636.34094
reponse_avant_surveillance,reviewer_review_count,2523.294764
secteur_home_services,texte_mots,2516.06772
age_a_la_vague1_j,taille_mono,2383.569505
mot_experience,secteur_home_services,2373.48722
reponse_avant_surveillance,star,2342.4815399999998
log_ratio_pic_journalier_fiche,mot_good,2259.939794
etoiles_4,log_ratio_pic_journalier_fiche,2187.6013
log_ratio_pic_journalier_fiche,n_avis_meme_jour_auteur,2187.374541
mot_professional,reviewer_review_count,2146.714331
reviewer_review_count,texte_mots,2090.112768
star,texte_part_majuscules,2058.584514
taille_mono,taille_small,2052.5849200000002
n_avis_meme_jour_auteur,reviewer_review_count,2026.3062438
reponse_avant_surveillance,secteur_food_beverage,1990.83635
secteur_food_beverage,texte_chars,1949.0422
reviewer_review_count,texte_longueur_moy_mot,1846.04745
log_age_vague1,texte_part_majuscules,1837.5392984
etoiles_4,n_avis_meme_jour_auteur,1768.56356
log_ratio_pic_journalier_fiche,mot_day,1755.01144
texte_chars,texte_part_majuscules,1706.87345
secteur_food_beverage,star,1648.30746
secteur_wellness_fitness,taille_small,1641.27976
age_a_la_vague1_j,mot_friendly,1532.59641
age_a_la_vague1_j,mot_thorough,1500.3611799999999
n_avis_meme_jour_auteur,secteur_home_services,1459.32509
mot_awesome,texte_part_majuscules,1435.366765
taille_mono,texte_chars,1418.8977300000001
log_age_vague1,mot_excellent,1397.746204
log_ratio_pic_journalier_fiche,mot_awesome,1396.9141200000001
texte_mots,texte_part_majuscules,1395.529826
mot_like,star,1385.14978
mot_clean,mot_super,1374.25615
texte_chars,texte_longueur_moy_mot,1370.484863
mot_time,texte_longueur_moy_mot,1341.5061699999999
age_a_la_vague1_j,texte_pts_exclamation,1299.0753941
log_ratio_pic_journalier_fiche,mot_great,1275.909912
mot_time,texte_part_majuscules,1236.7332430000001
mot_great,texte_part_majuscules,1235.47656
texte_chars,texte_mots,1220.033647
age_a_la_vague1_j,secteur_hospitality,1217.3004799999999
log_ratio_pic_journalier_fiche,mot_like,1204.937522
log_age_vague1,texte_longueur_moy_mot,1173.279309
mot_customer,mot_great,1164.66361
mot_time,reponse_avant_surveillance,1164.01944
age_a_la_vague1_j,mot_professional,1163.6333305
reviewer_review_count,secteur_travel,1150.60791
log_ratio_pic_journalier_fiche,mot_car,1145.394679
mot_best,texte_part_majuscules,1141.15044
star,texte_mots,1128.2530299999999
log_rc,secteur_food_beverage,1123.4160299999999
log_ratio_pic_journalier_fiche,mot_highly,1083.24244
log_rc,star,1075.9077200000002
mot_experience,n_avis_meme_jour_auteur,1075.859765
log_ratio_pic_journalier_fiche,mot_love,1072.603687
log_rc,texte_chars,1055.426795
etoiles_4,texte_part_majuscules,1052.1915920000001
log_ratio_pic_journalier_fiche,mot_experience,1043.6407100000001
age_a_la_vague1_j,mot_good,1041.20587
mot_great,reviewer_review_count,1036.0619120000001
mot_feel,reviewer_review_count,1028.39256
taille_mono,texte_mots,1026.94892
log_ratio_pic_journalier_fiche,secteur_wellness_fitness,1019.39081
age_a_la_vague1_j,mot_kind,1016.971347
mot_helpful,secteur_hospitality,1016.7819959999999
mot_knowledgeable,reviewer_review_count,999.3330805
log_ratio_pic_journalier_fiche,mot_went,993.202405
log_ratio_pic_journalier_fiche,mot_wonderful,988.177316
age_a_la_vague1_j,secteur_wellness_fitness,986.00209
log_ratio_pic_journalier_fiche,mot_recommend,984.12086
age_a_la_vague1_j,mot_great,977.86546064
log_ratio_pic_journalier_fiche,mot_food,975.34174
mot_best,taille_small,966.67726
mot_helpful,texte_part_majuscules,965.326554
mot_work,texte_part_majuscules,959.502233
mot_best,mot_care,946.209205
secteur_travel,star,935.63709
mot_staff,reviewer_review_count,919.0893452
age_a_la_vague1_j,mot_experience,917.6376258
mot_knowledgeable,mot_professional,902.18133
mot_excellent,texte_chars,902.07132
age_a_la_vague1_j,etoiles_4,892.4762390000001
taille_mono,texte_longueur_moy_mot,887.418175
reviewer_review_count,secteur_hospitality,887.0464099999999
age_a_la_vague1_j,mot_thank,884.715496
mot_great,texte_longueur_moy_mot,878.92381
has_photo,secteur_home_services,850.11561
log_ratio_pic_journalier_fiche,secteur_healthcare,833.004408
mot_feel,mot_home,829.75371
etoiles_5,texte_chars,822.66121
mot_great,star,815.9094809999999
mot_professional,texte_part_majuscules,809.038905
mot_clean,mot_come,796.91904
reponse_avant_surveillance,texte_chars,795.24405
age_a_la_vague1_j,mot_food,792.294987
log_ratio_pic_journalier_fiche,mot_care,789.77514
reviewer_review_count,taille_mono,789.109594
reviewer_review_count,secteur_healthcare,787.1572
mot_friendly,star,781.79432
age_a_la_vague1_j,mot_time,775.323085
log_ratio_pic_journalier_fiche,mot_customer,773.9409
