var1,var2,gain_interaction
age_a_la_vague1_j,secteur_home_services,63231.720605200004
secteur_home_services,star,34684.40164895
log_age_vague1,secteur_home_services,23996.358945735
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,21209.14884079
secteur_home_services,taille_small,20794.92873
star,taille_mono,17174.83151
age_a_la_vague1_j,reviewer_review_count,16631.6545820638
reponse_avant_surveillance,secteur_home_services,14676.38052
secteur_food_beverage,taille_small,12151.08346
log_ratio_pic_journalier_fiche,star,11872.207946
log_ratio_pic_journalier_fiche,reviewer_review_count,11645.07053913
log_ratio_pic_journalier_fiche,taille_small,10851.922184000001
age_a_la_vague1_j,taille_small,10557.300511
age_a_la_vague1_j,secteur_food_beverage,10266.15581186
age_a_la_vague1_j,star,9991.3766596
log_ratio_pic_journalier_fiche,secteur_food_beverage,7642.01289264
log_age_vague1,reviewer_review_count,7281.09676572
secteur_home_services,texte_chars,7035.75828
secteur_wellness_fitness,star,6830.09167
reviewer_review_count,secteur_home_services,6535.218058400001
log_age_vague1,taille_small,5856.5269163
reponse_avant_surveillance,secteur_wellness_fitness,5690.20503
log_age_vague1,log_ratio_pic_journalier_fiche,5665.6932161
log_ratio_pic_journalier_fiche,secteur_home_services,5118.635062
log_ratio_pic_journalier_fiche,texte_mots,5066.4939460000005
reponse_avant_surveillance,reviewer_review_count,5027.211879
log_ratio_pic_journalier_fiche,texte_part_majuscules,4600.558326
reviewer_review_count,star,4502.75889
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,4393.374685
age_a_la_vague1_j,texte_part_majuscules,4355.9584116
log_ratio_pic_journalier_fiche,texte_chars,4336.900472
secteur_home_services,texte_mots,4267.66013
log_ratio_pic_journalier_fiche,mot_great,4169.52527
secteur_hospitality,star,4162.65581
secteur_home_services,texte_part_majuscules,4158.1873837
log_ratio_pic_journalier_fiche,taille_mono,4065.517794
secteur_home_services,texte_longueur_moy_mot,4024.460306
age_a_la_vague1_j,reponse_avant_surveillance,3908.66124
age_a_la_vague1_j,mot_excellent,3900.3084002
secteur_hospitality,texte_part_majuscules,3821.60024
reponse_avant_surveillance,secteur_healthcare,3687.08675
log_ratio_pic_journalier_fiche,secteur_wellness_fitness,3666.7550100000003
reviewer_review_count,secteur_food_beverage,3534.9759116200003
secteur_home_services,secteur_wellness_fitness,3488.46881
