var1,var2,gain_interaction
log_ratio_pic_journalier_fiche,star,8010.08021586
age_a_la_vague1_j,secteur_home_services,2867.31688917
secteur_home_services,star,2427.4224477
log_ratio_pic_journalier_fiche,secteur_home_services,2337.9679123
log_ratio_pic_journalier_fiche,region_US,1891.5570495
region_US,star,1516.1503764
n_avis_meme_jour_auteur,secteur_home_services,1350.9757484
age_a_la_vague1_j,region_US,1303.0163581
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,835.4737563
secteur_wellness_fitness,star,828.5979095
age_a_la_vague1_j,star,828.52143718
secteur_home_services,secteur_wellness_fitness,763.273692
age_a_la_vague1_j,n_avis_meme_jour_auteur,761.6448733
log_ratio_pic_journalier_fiche,n_avis_meme_jour_auteur,705.9837454999999
log_ratio_pic_journalier_fiche,secteur_wellness_fitness,697.6450161
age_a_la_vague1_j,reviewer_review_count,582.19792481
profil_guide_etabli,star,503.36838
reviewer_review_count,star,370.57030706
log_ratio_pic_journalier_fiche,taille_small,327.71932634
log_ratio_pic_journalier_fiche,taille_mono,313.1144314
age_a_la_vague1_j,secteur_wellness_fitness,310.8740716
n_avis_meme_jour_auteur,region_US,287.046328
secteur_home_services,taille_mono,279.639415
log_ratio_pic_journalier_fiche,reviewer_review_count,270.68958767
star,texte_chars,270.27469130000003
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,260.3319206
n_avis_meme_jour_auteur,reviewer_review_count,254.9476912
region_US,secteur_food_beverage,245.23444300000003
secteur_wellness_fitness,taille_small,243.6807133
reviewer_review_count,secteur_home_services,226.3282143
region_US,reviewer_review_count,225.5204528
reviewer_review_count,secteur_food_beverage,214.2715288
log_ratio_pic_journalier_fiche,texte_part_majuscules,208.97906772
age_a_la_vague1_j,taille_small,201.1118533
secteur_food_beverage,secteur_hospitality,198.953496
reponse_avant_surveillance,secteur_home_services,191.274126
star,texte_mots,190.0375539
reponse_avant_surveillance,secteur_healthcare,187.4389294
age_a_la_vague1_j,secteur_food_beverage,185.164856
age_a_la_vague1_j,mot_excellent,177.5573081
log_ratio_pic_journalier_fiche,texte_chars,176.216770825
reviewer_review_count,taille_mono,175.4187033
log_ratio_pic_journalier_fiche,secteur_healthcare,174.9337044
reponse_avant_surveillance,reviewer_review_count,174.8067683
reviewer_review_count,texte_longueur_moy_mot,167.720232
secteur_food_beverage,taille_mono,163.27045
reviewer_review_count,secteur_wellness_fitness,158.984099
age_a_la_vague1_j,texte_mots,158.30933179
texte_chars,texte_part_majuscules,151.31829947
age_a_la_vague1_j,secteur_hospitality,147.057912
age_a_la_vague1_j,texte_chars,146.22465498
secteur_home_services,texte_mots,146.2187824
log_ratio_pic_journalier_fiche,mot_hotel,144.90679550000002
star,texte_part_majuscules,144.2474584
log_ratio_pic_journalier_fiche,texte_mots,131.4803885
mot_care,mot_thank,127.0366221
secteur_home_services,taille_small,120.153258
reviewer_review_count,texte_chars,117.84255653
secteur_wellness_fitness,texte_chars,107.1374969
taille_small,texte_part_majuscules,107.0135254
etoiles_5,secteur_wellness_fitness,105.6868647
profil_guide_etabli,texte_longueur_moy_mot,104.3431267
age_a_la_vague1_j,texte_part_majuscules,102.97907464
log_ratio_pic_journalier_fiche,reponse_avant_surveillance,102.6583399
secteur_home_services,texte_longueur_moy_mot,102.61036039999999
reviewer_review_count,texte_mots,100.07645906
reponse_avant_surveillance,star,98.694428
texte_longueur_moy_mot,texte_part_majuscules,92.45044204
reponse_avant_surveillance,secteur_food_beverage,92.21576900000001
mot_food,region_US,91.720569
star,taille_mono,90.67314
texte_mots,texte_part_majuscules,90.07400799999999
age_a_la_vague1_j,mot_professional,86.6671031
log_ratio_pic_journalier_fiche,profil_guide_etabli,83.2005999
secteur_wellness_fitness,texte_mots,80.719003
texte_chars,texte_longueur_moy_mot,79.676897666
secteur_home_services,texte_chars,79.3764296
log_ratio_pic_journalier_fiche,texte_pts_exclamation,77.42609723
mot_nice,reviewer_review_count,76.5669535
reviewer_review_count,texte_part_majuscules,74.0516015
secteur_healthcare,star,73.5173087
log_ratio_pic_journalier_fiche,mot_work,73.053012
log_ratio_pic_journalier_fiche,mot_time,72.8858508
region_US,taille_small,72.2070915
age_a_la_vague1_j,texte_longueur_moy_mot,71.14012362
secteur_healthcare,texte_part_majuscules,71.084653
age_a_la_vague1_j,mot_care,67.7572586
reponse_avant_surveillance,texte_longueur_moy_mot,67.584955
texte_longueur_moy_mot,texte_mots,65.80186956
region_US,texte_longueur_moy_mot,65.1430361
log_ratio_pic_journalier_fiche,mot_excellent,64.3451585
mot_amazing,taille_mono,63.850345
mot_recommend,reviewer_review_count,62.6028435
age_a_la_vague1_j,mot_pour,62.5737673
log_ratio_pic_journalier_fiche,mot_definitely,62.1407577
texte_chars,texte_mots,58.3998841
region_US,texte_mots,58.23201
log_ratio_pic_journalier_fiche,mot_did,58.0915836
age_a_la_vague1_j,taille_mono,57.5146006
mot_thank,reviewer_review_count,56.613432599999996
mot_great,texte_longueur_moy_mot,55.6429236
n_avis_meme_jour_auteur,secteur_wellness_fitness,54.615772
mot_definitely,reviewer_review_count,54.4535513
age_a_la_vague1_j,mot_helpful,53.900066
mot_nice,texte_longueur_moy_mot,52.2031122
etoiles_4,n_avis_meme_jour_auteur,51.8926353
age_a_la_vague1_j,mot_thank,51.661119299999996
secteur_hospitality,star,50.88085
reviewer_review_count,taille_small,50.4053947
age_a_la_vague1_j,mot_job,49.549825999999996
mot_care,reviewer_review_count,47.7222883
log_ratio_pic_journalier_fiche,mot_great,47.4336218
age_a_la_vague1_j,mot_just,46.1956572
mot_highly,texte_longueur_moy_mot,45.1701503
mot_nice,secteur_hospitality,44.571087000000006
mot_nice,texte_part_majuscules,44.5089019
profil_guide_etabli,secteur_wellness_fitness,44.43666
texte_longueur_moy_mot,texte_pts_exclamation,44.3832832
mot_le,texte_mots,43.3653592
age_a_la_vague1_j,mot_staff,41.7623423
reponse_avant_surveillance,taille_small,41.6900246
taille_small,texte_mots,41.1103198
mot_friendly,mot_super,40.9442956
age_a_la_vague1_j,mot_es,40.8556626
log_ratio_pic_journalier_fiche,mot_amazing,40.5312323
texte_part_majuscules,texte_pts_exclamation,39.6256072
region_US,texte_chars,38.8295242
log_ratio_pic_journalier_fiche,secteur_travel,38.574089
log_ratio_pic_journalier_fiche,secteur_hospitality,38.531934
log_ratio_pic_journalier_fiche,mot_sehr,38.467977399999995
log_ratio_pic_journalier_fiche,mot_experience,38.007819299999994
mot_job,texte_longueur_moy_mot,37.8912825
mot_helpful,reviewer_review_count,37.8465093
mot_came,texte_pts_exclamation,37.6720189
reponse_avant_surveillance,secteur_wellness_fitness,37.4805601
mot_professional,reviewer_review_count,37.4358698
mot_est,texte_chars,37.2971218
mot_great,mot_job,37.1869113
n_avis_meme_jour_auteur,texte_part_majuscules,37.1368796
n_avis_meme_jour_auteur,profil_guide_etabli,36.818054
mot_time,secteur_healthcare,36.8143431
mot_amazing,texte_longueur_moy_mot,36.7908859
mot_best,mot_helpful,36.5445333
log_ratio_pic_journalier_fiche,mot_trs,36.0797098
age_a_la_vague1_j,mot_work,35.9453606
region_US,secteur_home_services,35.859316
log_ratio_pic_journalier_fiche,mot_good,35.8012305
mot_care,n_avis_meme_jour_auteur,35.738253
mot_recommend,texte_longueur_moy_mot,35.668174
mot_nice,texte_mots,34.9359151
mot_definitely,secteur_home_services,34.7874313
log_ratio_pic_journalier_fiche,mot_et,34.729160900000004
profil_guide_etabli,region_US,34.61087
secteur_food_beverage,texte_chars,34.3408327
taille_mono,taille_small,33.943401
mot_great,reviewer_review_count,33.8594123
mot_care,texte_pts_exclamation,33.6434184
mot_just,star,33.174858799999996
log_ratio_pic_journalier_fiche,texte_pts_interrogation,32.6685353
log_ratio_pic_journalier_fiche,mot_professional,32.2720446
reviewer_review_count,secteur_travel,32.080555200000006
mot_time,texte_part_majuscules,32.0261379
mot_helpful,secteur_home_services,31.791626
mot_est,secteur_hospitality,31.7233045
mot_helpful,mot_job,31.650248400000002
region_US,secteur_wellness_fitness,31.5975233
mot_work,reviewer_review_count,31.4471246
mot_excellent,star,31.260346
mot_helpful,texte_longueur_moy_mot,31.1558112
age_a_la_vague1_j,mot_food,31.0927812
age_a_la_vague1_j,mot_nice,31.060519
mot_und,star,31.0325799
mot_et,texte_mots,30.793378099999998
texte_mots,texte_pts_exclamation,30.55077746
age_a_la_vague1_j,mot_did,30.230785700000002
mot_work,texte_part_majuscules,30.059204
mot_pour,texte_longueur_moy_mot,29.9378096
log_ratio_pic_journalier_fiche,mot_care,29.7258198
mot_hotel,texte_longueur_moy_mot,29.618259899999998
taille_mono,texte_mots,29.603917
etoiles_4,mot_la,29.4934779
mot_great,texte_mots,28.822038
mot_staff,reponse_avant_surveillance,28.741128
log_ratio_pic_journalier_fiche,mot_job,28.6383772
taille_mono,texte_longueur_moy_mot,28.6287144
mot_thank,star,28.450985499999998
age_a_la_vague1_j,mot_en,28.40665
mot_thank,secteur_wellness_fitness,28.348003
mot_helpful,mot_thank,28.313096
secteur_hospitality,texte_part_majuscules,28.243285
secteur_healthcare,texte_mots,28.097927
secteur_wellness_fitness,taille_mono,27.9755841
secteur_healthcare,texte_chars,27.947381999999998
mot_le,texte_chars,27.9224308
mot_la,texte_part_majuscules,27.8686041
mot_nice,secteur_food_beverage,27.702228
mot_professional,taille_mono,27.6920923
age_a_la_vague1_j,mot_definitely,27.5608466
age_a_la_vague1_j,mot_la,27.484060799999998
mot_professional,star,27.049338300000002
mot_just,texte_mots,26.9456233
mot_definitely,mot_helpful,26.575745
taille_small,texte_longueur_moy_mot,26.377937000000003
