var1,var2,gain_interaction
secteur_home_services,star,1512.2407352
age_a_la_vague1_j,secteur_home_services,1279.43492
secteur_home_services,taille_small,969.222606
age_a_la_vague1_j,region_US,924.9439138
log_ratio_pic_journalier_fiche,region_US,759.9475771
region_US,secteur_food_beverage,661.1416757
age_a_la_vague1_j,reviewer_review_count,546.9358052599999
age_a_la_vague1_j,star,479.44721549999997
reviewer_review_count,star,431.6393104
age_a_la_vague1_j,log_ratio_pic_journalier_fiche,380.7252597
log_ratio_pic_journalier_fiche,secteur_food_beverage,377.8099313
age_a_la_vague1_j,secteur_food_beverage,361.2661687
reponse_avant_surveillance,secteur_healthcare,343.902153
age_a_la_vague1_j,taille_small,343.09128484
log_ratio_pic_journalier_fiche,texte_longueur_moy_mot,303.89359137
reviewer_review_count,secteur_food_beverage,293.06302700000003
log_ratio_pic_journalier_fiche,texte_chars,286.81492062
log_ratio_pic_journalier_fiche,reviewer_review_count,283.66381782999997
secteur_home_services,secteur_wellness_fitness,280.0216117
region_US,reviewer_review_count,278.782537
profil_guide_etabli,star,268.5605785
log_ratio_pic_journalier_fiche,star,266.9993541
log_ratio_pic_journalier_fiche,texte_part_majuscules,263.38225656
reponse_avant_surveillance,reviewer_review_count,253.8181611
log_ratio_pic_journalier_fiche,taille_mono,240.92094717
profil_guide_etabli,profil_niveau_sans_avis_declare,231.5701056
star,texte_part_majuscules,224.9553296
region_US,secteur_home_services,212.3023276
log_ratio_pic_journalier_fiche,secteur_healthcare,208.766175
log_ratio_pic_journalier_fiche,taille_small,205.8267729
star,taille_mono,185.5039433
reponse_avant_surveillance,secteur_home_services,173.3402343
log_ratio_pic_journalier_fiche,texte_mots,162.13903557999998
profil_niveau_sans_avis_declare,reviewer_review_count,156.0671907
secteur_food_beverage,star,150.993684
texte_longueur_moy_mot,texte_part_majuscules,149.05652865
region_US,secteur_wellness_fitness,144.684497
reviewer_review_count,texte_part_majuscules,143.56921614
reviewer_review_count,secteur_healthcare,139.5135993
secteur_home_services,texte_chars,130.0308182
profil_guide_etabli,texte_chars,128.36717
age_a_la_vague1_j,taille_mono,128.2834246
log_ratio_pic_journalier_fiche,secteur_wellness_fitness,127.61769760000001
reponse_avant_surveillance,star,126.47491600000001
reviewer_review_count,texte_mots,126.36941703
age_a_la_vague1_j,secteur_wellness_fitness,125.4570768
age_a_la_vague1_j,texte_longueur_moy_mot,125.43464258
region_US,star,124.32885540000001
reviewer_review_count,taille_small,123.6383494
secteur_home_services,taille_mono,122.7338383
reviewer_review_count,secteur_home_services,122.4998636
mot_food,region_US,113.9540626
age_a_la_vague1_j,mot_excellent,111.67264399999999
log_ratio_pic_journalier_fiche,reponse_avant_surveillance,111.1357676
texte_mots,texte_part_majuscules,108.64137385
reponse_avant_surveillance,taille_small,107.0516256
secteur_home_services,texte_part_majuscules,103.654589
region_US,texte_chars,102.82206260000001
age_a_la_vague1_j,mot_professional,96.822739
secteur_wellness_fitness,texte_longueur_moy_mot,94.73370419999999
reviewer_review_count,texte_longueur_moy_mot,94.47909013
age_a_la_vague1_j,texte_chars,93.8272801
reviewer_review_count,texte_chars,90.06145077000001
age_a_la_vague1_j,mot_staff,89.4003015
profil_guide_etabli,secteur_healthcare,88.7463904
log_ratio_pic_journalier_fiche,mot_et,84.53590131
texte_chars,texte_mots,84.37960026
mot_nice,reviewer_review_count,83.7799825
profil_guide_etabli,taille_mono,82.2497574
secteur_healthcare,texte_part_majuscules,80.81680985
texte_longueur_moy_mot,texte_mots,77.8806237
age_a_la_vague1_j,texte_part_majuscules,77.85112426
texte_chars,texte_part_majuscules,76.95366781999999
taille_small,texte_longueur_moy_mot,76.7220883
log_ratio_pic_journalier_fiche,mot_recommend,75.753889
log_ratio_pic_journalier_fiche,secteur_travel,75.5586014
n_avis_meme_jour_auteur,reviewer_review_count,74.2046395
log_ratio_pic_journalier_fiche,mot_hotel,73.9560871
mot_staff,reviewer_review_count,73.72020494
mot_thank,texte_longueur_moy_mot,73.5552015
secteur_home_services,texte_mots,72.600002
log_ratio_pic_journalier_fiche,secteur_home_services,72.49207609999999
reponse_avant_surveillance,texte_part_majuscules,71.72920065
log_ratio_pic_journalier_fiche,n_avis_meme_jour_auteur,70.4659583
age_a_la_vague1_j,n_avis_meme_jour_auteur,69.231986
reviewer_review_count,secteur_travel,67.0257423
age_a_la_vague1_j,texte_mots,66.02220136
log_ratio_pic_journalier_fiche,secteur_hospitality,65.7066643
secteur_healthcare,star,65.1164485
taille_mono,texte_longueur_moy_mot,64.3803392
taille_mono,texte_chars,60.4605902
texte_chars,texte_longueur_moy_mot,60.18360619
region_US,texte_longueur_moy_mot,59.1964457
reviewer_review_count,secteur_wellness_fitness,58.8340075
mot_des,texte_chars,56.656773
taille_small,texte_mots,55.39315665
mot_helpful,reviewer_review_count,53.4286165
log_ratio_pic_journalier_fiche,mot_good,52.3409499
mot_nice,texte_longueur_moy_mot,52.225174
mot_care,reviewer_review_count,50.6672056
secteur_food_beverage,secteur_home_services,49.465515
etoiles_4,reviewer_review_count,48.006802
mot_service,texte_longueur_moy_mot,47.9202112
age_a_la_vague1_j,mot_good,47.1119427
mot_et,texte_chars,47.0933124
log_ratio_pic_journalier_fiche,mot_trs,46.7423181
mot_helpful,texte_part_majuscules,45.4795321
age_a_la_vague1_j,mot_definitely,45.08215786
secteur_travel,texte_mots,44.8635776
log_ratio_pic_journalier_fiche,mot_really,44.7049306
reponse_avant_surveillance,secteur_food_beverage,44.6828
etoiles_4,texte_part_majuscules,44.6438597
mot_good,texte_longueur_moy_mot,43.328269399999996
mot_nice,texte_mots,43.301505
log_ratio_pic_journalier_fiche,mot_great,43.0931232
region_US,secteur_healthcare,42.380653
reviewer_review_count,texte_pts_exclamation,41.5728767
mot_highly,reviewer_review_count,41.4030774
log_ratio_pic_journalier_fiche,mot_service,40.01611496
log_ratio_pic_journalier_fiche,mot_just,39.8945951
reponse_avant_surveillance,texte_longueur_moy_mot,39.46445693
age_a_la_vague1_j,mot_work,38.7563583
log_ratio_pic_journalier_fiche,mot_nice,37.974527
etoiles_4,log_ratio_pic_journalier_fiche,37.378989
mot_est,mot_et,36.9672032
mot_amazing,texte_longueur_moy_mot,36.790014
log_ratio_pic_journalier_fiche,mot_like,36.7538541
mot_nice,secteur_food_beverage,36.602351
taille_small,texte_part_majuscules,36.5619122
mot_et,texte_longueur_moy_mot,36.5519806
mot_great,region_US,35.6521883
mot_car,reponse_avant_surveillance,35.41539
mot_professional,texte_part_majuscules,35.3796487
taille_mono,texte_part_majuscules,34.62821816
region_US,reponse_avant_surveillance,34.52277
log_ratio_pic_journalier_fiche,mot_food,33.750056
mot_es,texte_mots,33.5332884
region_US,taille_mono,32.431893
log_ratio_pic_journalier_fiche,mot_experience,32.3427967
profil_guide_etabli,reviewer_review_count,32.110485000000004
mot_good,texte_chars,31.859807
secteur_travel,star,31.527201599999998
star,texte_longueur_moy_mot,31.404013000000003
etoiles_4,n_avis_meme_jour_auteur,30.5601414
texte_part_majuscules,texte_pts_exclamation,30.534555740000002
region_US,texte_part_majuscules,30.4777962
secteur_wellness_fitness,star,30.4589721
mot_great,texte_longueur_moy_mot,30.4000112
mot_es,secteur_wellness_fitness,30.2660579
texte_mots,texte_presence_emoji,30.253960999999997
secteur_wellness_fitness,texte_presence_emoji,30.105676000000003
n_avis_meme_jour_auteur,star,29.9883974
mot_staff,reponse_avant_surveillance,29.942740999999998
age_a_la_vague1_j,mot_trs,29.8359219
log_ratio_pic_journalier_fiche,mot_helpful,29.56908927
texte_longueur_moy_mot,texte_pts_exclamation,29.384278300000002
reponse_avant_surveillance,texte_mots,29.288611799999998
age_a_la_vague1_j,mot_just,29.2704402
mot_es,reviewer_review_count,29.2684702
mot_des,mot_et,29.2125713
mot_thank,taille_mono,29.173045700000003
mot_est,reponse_avant_surveillance,28.795233
mot_good,mot_professional,28.632824
mot_just,texte_part_majuscules,28.4111601
mot_das,texte_longueur_moy_mot,28.250792399999998
age_a_la_vague1_j,secteur_healthcare,28.1594685
taille_mono,texte_mots,28.0440565
log_ratio_pic_journalier_fiche,mot_thank,27.9625289
mot_work,reviewer_review_count,27.9353015
mot_great,texte_part_majuscules,27.87358189
region_US,texte_mots,27.830370000000002
secteur_healthcare,taille_small,27.766924500000002
n_avis_meme_jour_auteur,texte_part_majuscules,27.736566699999997
texte_court_generique,texte_part_majuscules,27.5378697
age_a_la_vague1_j,mot_helpful,27.4605955
profil_guide_etabli,secteur_home_services,27.4014984
mot_pour,texte_longueur_moy_mot,27.2163411
