caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,88059,704,79.9
has_photo,1,9885,40,40.5
langue_minoritaire_sur_la_fiche,0,83106,664,79.9
langue_minoritaire_sur_la_fiche,1,14838,80,53.9
j8_pendant_suivi,0,82271,445,54.1
j8_pendant_suivi,1,15673,299,190.8
langue_etrangere_au_pays,0,78988,635,80.4
langue_etrangere_au_pays,1,18956,109,57.5
langue_inconnue,0,66656,428,64.2
langue_inconnue,1,31288,316,101.0
rythme_fiche_inconnu,0,97937,744,76.0
rythme_fiche_inconnu,1,7,0,0.0
star,1,7219,422,584.6
star,2,2618,25,95.5
star,3,4105,10,24.4
star,4,11246,27,24.0
star,5,72756,260,35.7
bucket,large,40525,486,119.9
bucket,mono,21552,102,47.3
bucket,small,35867,156,43.5
secteur,automotive,8763,48,54.8
secteur,food_beverage,19503,70,35.9
secteur,healthcare,12545,23,18.3
secteur,home_services,7376,51,69.1
secteur,hospitality,27450,107,39.0
secteur,travel,6581,37,56.2
secteur,wellness_fitness,15726,408,259.4
palier_local_guide,1_3,57680,457,79.2
palier_local_guide,4_et_plus,38737,135,34.9
palier_local_guide,sans_niveau,1527,152,995.4
tranche_photos_auteur,0,51678,534,103.3
tranche_photos_auteur,1_10,25059,162,64.6
tranche_photos_auteur,11_100,13910,39,28.0
tranche_photos_auteur,plus_de_100,7297,9,12.3
taille_texte,sans_texte,32084,319,99.4
taille_texte,texte_1_50,12955,104,80.3
taille_texte,texte_51_200,27232,169,62.1
taille_texte,texte_201p,25673,152,59.2
n_avis_meme_jour_auteur,1,97014,732,75.5
n_avis_meme_jour_auteur,2,824,9,109.2
n_avis_meme_jour_auteur,3,48,1,208.3
n_avis_meme_jour_auteur,4,28,0,0.0
n_avis_meme_jour_auteur,5,5,0,0.0
n_avis_meme_jour_auteur,6,6,0,0.0
n_avis_meme_jour_auteur,7,7,2,2857.1
n_avis_meme_jour_auteur,12,12,0,0.0
