caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,190750,1455,76.3
has_photo,1,19920,121,60.7
langue_minoritaire_sur_la_fiche,0,193911,1493,77.0
langue_minoritaire_sur_la_fiche,1,16759,83,49.5
j8_pendant_suivi,0,177612,727,40.9
j8_pendant_suivi,1,33058,849,256.8
langue_etrangere_au_pays,0,189705,1464,77.2
langue_etrangere_au_pays,1,20965,112,53.4
langue_inconnue,0,153750,1275,82.9
langue_inconnue,1,56920,301,52.9
rythme_fiche_inconnu,0,210658,1574,74.7
rythme_fiche_inconnu,1,12,2,1666.7
star,1,13367,273,204.2
star,2,4505,33,73.3
star,3,6483,25,38.6
star,4,17485,52,29.7
star,5,168830,1193,70.7
bucket,large,90742,545,60.1
bucket,mono,48741,347,71.2
bucket,small,71187,684,96.1
secteur,automotive,28794,205,71.2
secteur,food_beverage,44496,156,35.1
secteur,healthcare,31318,216,69.0
secteur,home_services,28000,497,177.5
secteur,hospitality,39463,168,42.6
secteur,travel,14881,129,86.7
secteur,wellness_fitness,23718,205,86.4
palier_local_guide,1_3,134206,1038,77.3
palier_local_guide,4_et_plus,72879,343,47.1
palier_local_guide,sans_niveau,3585,195,543.9
tranche_photos_auteur,0,119929,1094,91.2
tranche_photos_auteur,1_10,54645,394,72.1
tranche_photos_auteur,11_100,24229,72,29.7
tranche_photos_auteur,plus_de_100,11867,16,13.5
taille_texte,sans_texte,58089,304,52.3
taille_texte,texte_1_50,30819,233,75.6
taille_texte,texte_51_200,67753,530,78.2
taille_texte,texte_201p,54009,509,94.2
n_avis_meme_jour_auteur,1,209128,1550,74.1
n_avis_meme_jour_auteur,2,1356,21,154.9
n_avis_meme_jour_auteur,3,99,4,404.0
n_avis_meme_jour_auteur,4,56,0,0.0
n_avis_meme_jour_auteur,5,5,0,0.0
n_avis_meme_jour_auteur,6,12,0,0.0
n_avis_meme_jour_auteur,7,2,1,5000.0
n_avis_meme_jour_auteur,12,12,0,0.0
