caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,10625,346,325.6
reponse_au_jalon,1,6990,251,359.1
has_photo,0,16076,570,354.6
has_photo,1,1539,27,175.4
langue_minoritaire_sur_la_fiche,0,16043,574,357.8
langue_minoritaire_sur_la_fiche,1,1572,23,146.3
star,1,1226,74,603.6
star,2,429,9,209.8
star,3,611,5,81.8
star,4,1519,17,111.9
star,5,13830,492,355.7
bucket,large,7926,315,397.4
bucket,mono,4057,77,189.8
bucket,small,5632,205,364.0
secteur,automotive,2354,60,254.9
secteur,food_beverage,3477,41,117.9
secteur,healthcare,2060,69,335.0
secteur,home_services,3121,309,990.1
secteur,hospitality,3684,40,108.6
secteur,travel,1227,30,244.5
secteur,wellness_fitness,1692,48,283.7
palier_local_guide,1_3,10426,400,383.7
palier_local_guide,4_et_plus,5760,101,175.3
palier_local_guide,sans_niveau,1429,96,671.8
taille_texte,sans_texte,4681,140,299.1
taille_texte,texte_1_50,2580,85,329.5
taille_texte,texte_51_200,5623,198,352.1
taille_texte,texte_201p,4731,174,367.8
habitude_reponse_fiche,habitude_25_75,3128,75,239.8
habitude_reponse_fiche,habitude_historique_insuffisant,292,3,102.7
habitude_reponse_fiche,habitude_moins_de_25,5415,205,378.6
habitude_reponse_fiche,habitude_plus_de_75,8780,314,357.6
region,Europe,7696,117,152.0
region,US,9919,480,483.9
n_avis_meme_jour_auteur,1,17474,573,327.9
n_avis_meme_jour_auteur,2,119,15,1260.5
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,12,8,6666.7
