caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,9931,259,260.8
reponse_au_jalon,1,6536,122,186.7
has_photo,0,14942,356,238.3
has_photo,1,1525,25,163.9
langue_minoritaire_sur_la_fiche,0,14899,359,241.0
langue_minoritaire_sur_la_fiche,1,1568,22,140.3
star,1,1164,67,575.6
star,2,427,8,187.4
star,3,604,4,66.2
star,4,1484,11,74.1
star,5,12788,291,227.6
bucket,large,6778,99,146.1
bucket,mono,4057,77,189.8
bucket,small,5632,205,364.0
secteur,automotive,2354,60,254.9
secteur,food_beverage,3477,41,117.9
secteur,healthcare,2060,69,335.0
secteur,home_services,1973,93,471.4
secteur,hospitality,3684,40,108.6
secteur,travel,1227,30,244.5
secteur,wellness_fitness,1692,48,283.7
palier_local_guide,1_3,9537,230,241.2
palier_local_guide,4_et_plus,5589,68,121.7
palier_local_guide,sans_niveau,1341,83,618.9
taille_texte,sans_texte,4345,79,181.8
taille_texte,texte_1_50,2403,47,195.6
taille_texte,texte_51_200,5216,123,235.8
taille_texte,texte_201p,4503,132,293.1
habitude_reponse_fiche,habitude_25_75,3107,75,241.4
habitude_reponse_fiche,habitude_historique_insuffisant,291,2,68.7
habitude_reponse_fiche,habitude_moins_de_25,4716,113,239.6
habitude_reponse_fiche,habitude_plus_de_75,8353,191,228.7
region,Europe,7696,117,152.0
region,US,8771,264,301.0
n_avis_meme_jour_auteur,1,16344,374,228.8
n_avis_meme_jour_auteur,2,109,6,550.5
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,4,0,0.0
