caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,7219,422,584.6
etoiles,etoiles_2,2618,25,95.5
etoiles,etoiles_3,4105,10,24.4
etoiles,etoiles_4,11246,27,24.0
etoiles,etoiles_5,72756,260,35.7
has_photo,0,88059,704,79.9
has_photo,1,9885,40,40.5
taille_texte,texte_sans_texte,32084,319,99.4
taille_texte,texte_texte_1_50,12955,104,80.3
taille_texte,texte_texte_201p,25673,152,59.2
taille_texte,texte_texte_51_200,27232,169,62.1
a_une_reponse,0,45424,377,83.0
a_une_reponse,1,52520,367,69.9
tranche_rythme_fiche,moins_de_0.1_par_jour,12224,54,44.2
tranche_rythme_fiche,0.1_a_0.5,40052,172,42.9
tranche_rythme_fiche,0.5_a_1,20342,404,198.6
tranche_rythme_fiche,1_a_3,19594,94,48.0
tranche_rythme_fiche,3_a_10,4006,17,42.4
tranche_rythme_fiche,plus_de_10,1726,3,17.4
