caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,6899,105,152.2
etoiles,etoiles_2,2608,15,57.5
etoiles,etoiles_3,4105,10,24.4
etoiles,etoiles_4,11246,27,24.0
etoiles,etoiles_5,72729,260,35.7
has_photo,0,87706,381,43.4
has_photo,1,9881,36,36.4
taille_texte,texte_sans_texte,31843,91,28.6
taille_texte,texte_texte_1_50,12903,55,42.6
taille_texte,texte_texte_201p,25667,148,57.7
taille_texte,texte_texte_51_200,27174,123,45.3
a_une_reponse,0,45321,274,60.5
a_une_reponse,1,52266,143,27.4
tranche_rythme_fiche,moins_de_0.1_par_jour,12224,54,44.2
tranche_rythme_fiche,0.1_a_0.5,40052,172,42.9
tranche_rythme_fiche,0.5_a_1,19985,77,38.5
tranche_rythme_fiche,1_a_3,19594,94,48.0
tranche_rythme_fiche,3_a_10,4006,17,42.4
tranche_rythme_fiche,plus_de_10,1726,3,17.4
