caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,7062,185,262.0
etoiles,etoiles_2,1968,19,96.5
etoiles,etoiles_3,2452,16,65.3
etoiles,etoiles_4,6774,41,60.5
etoiles,etoiles_5,109557,1590,145.1
has_photo,0,117629,1762,149.8
has_photo,1,10184,89,87.4
taille_texte,texte_sans_texte,30423,432,142.0
taille_texte,texte_texte_1_50,20294,301,148.3
taille_texte,texte_texte_201p,30882,466,150.9
taille_texte,texte_texte_51_200,46214,652,141.1
a_une_reponse,0,51379,895,174.2
a_une_reponse,1,76434,956,125.1
tranche_rythme_fiche,moins_de_0.1_par_jour,10893,45,41.3
tranche_rythme_fiche,0.1_a_0.5,38298,322,84.1
tranche_rythme_fiche,0.5_a_1,23136,476,205.7
tranche_rythme_fiche,1_a_3,35398,650,183.6
tranche_rythme_fiche,3_a_10,20088,358,178.2
