caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,6477,168,259.4
etoiles,etoiles_2,1897,18,94.9
etoiles,etoiles_3,2378,15,63.1
etoiles,etoiles_4,6239,25,40.1
etoiles,etoiles_5,96182,933,97.0
has_photo,0,103134,1074,104.1
has_photo,1,10039,85,84.7
taille_texte,texte_sans_texte,26266,213,81.1
taille_texte,texte_texte_1_50,17927,178,99.3
taille_texte,texte_texte_201p,28359,361,127.3
taille_texte,texte_texte_51_200,40621,407,100.2
a_une_reponse,0,41971,549,130.8
a_une_reponse,1,71202,610,85.7
tranche_rythme_fiche,moins_de_0.1_par_jour,10883,44,40.4
tranche_rythme_fiche,0.1_a_0.5,37643,278,73.9
tranche_rythme_fiche,0.5_a_1,21658,313,144.5
tranche_rythme_fiche,1_a_3,28472,373,131.0
tranche_rythme_fiche,3_a_10,14517,151,104.0
