variable,coefficient,risque_relatif,borne_basse,borne_haute,p_value
const,-5.504714818196459,0.004067548406282059,0.0026936774204246745,0.00614214230404742,4.665704951581599e-151
etoiles_1,1.2899857081657922,3.63273463694065,2.2358207037693996,5.902423624658152,1.898717528710177e-07
etoiles_2,0.3231902860279829,1.3815282114113918,0.735897298772561,2.5935958755508954,0.3145628432442157
etoiles_3,-0.46748141692601336,0.626578372358188,0.2908670379451761,1.3497591871549064,0.2324973129138148
etoiles_4,-0.3959500271171925,0.6730403288624913,0.38829368144515214,1.1665996793700488,0.15827854239485806
etoiles_5,0.0,1.0,1.0,1.0,
has_photo,-0.2792094350364764,0.7563814738437313,0.4829371183905377,1.1846530576913816,0.2225696784624478
texte_sans_texte,0.0,1.0,1.0,1.0,
texte_texte_1_50,0.40429719810377257,1.498249157605601,0.9945829317911495,2.256976735186185,0.053115505377260404
texte_texte_51_200,0.4269050357843215,1.5325071214767576,0.9876976586471263,2.3778309655951624,0.056814675044489026
texte_texte_201p,0.4426255779830711,1.5567893290030743,1.0802875050196603,2.2434703758364174,0.01758683941834792
a_une_reponse,-0.7921594861755985,0.45286578118524,0.2968337803844837,0.6909166992478805,0.00023741356442982003
log2_rythme_fiche,-0.0424227856633119,0.9584644698620917,0.7285582159824994,1.2609207059029133,0.7617652436127547
