groupe,avis,risque_annonce,part_reellement_supprimee
1,2437,0.0008243741434221718,0.0016413623307345096
2,2436,0.0010122387777848781,0.003284072249589491
3,2436,0.002130980560161741,0.0028735632183908046
4,2436,0.0024659641945094083,0.006157635467980296
5,2436,0.002914609939671192,0.0049261083743842365
6,2436,0.00390287347887367,0.005747126436781609
7,2436,0.004791448031180597,0.0028735632183908046
8,2436,0.006005813987980947,0.0016420361247947454
9,2436,0.006236840245728654,0.002052545155993432
10,2436,0.046566630636141186,0.038998357963875206
