groupe,avis,risque_annonce,part_reellement_supprimee
1,2428,0.001444879248459656,0.0012355848434925864
2,2428,0.0018408800752239842,0.0016474464579901153
3,2427,0.002205054905636542,0.002472187886279357
4,2428,0.002461132465702506,0.005766062602965404
5,2427,0.0026006864069116143,0.004120313143798929
6,2428,0.003404820492013916,0.004118616144975288
7,2427,0.004548776883320479,0.002472187886279357
8,2428,0.0053759672192709405,0.002471169686985173
9,2427,0.0062209993263251506,0.006592501030078286
10,2428,0.013123658314978115,0.008649093904448105
