groupe,avis,risque_annonce,part_reellement_supprimee
1,3204,0.00633521420864202,0.005305867665418227
2,3204,0.00932958857123241,0.006242197253433208
3,3203,0.010292496433525712,0.013737121448641898
4,3204,0.011330224497778247,0.019350811485642945
5,3203,0.01272225606565608,0.011863877614736186
6,3204,0.013928403056570086,0.011235955056179775
7,3203,0.01527465128624907,0.009054011863877614
8,3204,0.017174247245393463,0.019662921348314606
9,3203,0.020317923764785178,0.022791133312519512
10,3204,0.0264188359890655,0.02965043695380774
