groupe,avis,risque_annonce,part_reellement_supprimee
1,2835,0.004792586878592517,0.0031746031746031746
2,2835,0.006406074800462827,0.007760141093474427
3,2834,0.007156050714259861,0.009880028228652082
4,2835,0.007932783522678493,0.008465608465608466
5,2834,0.008721814572971779,0.008468595624558928
6,2835,0.009567325541894104,0.007407407407407408
7,2834,0.010506870364850806,0.0067043048694424845
8,2835,0.011584873159039048,0.01164021164021164
9,2834,0.013396273892025619,0.016937191249117856
10,2835,0.02096166415469236,0.025044091710758377
