caracteristique,valeur,avis,suppressions,suppressions_pour_10000_avis
etoiles,etoiles_1,624,32,512.8
etoiles,etoiles_2,289,8,276.8
etoiles,etoiles_3,431,3,69.6
etoiles,etoiles_4,1029,13,126.3
etoiles,etoiles_5,5358,96,179.2
has_photo,0,6900,140,202.9
has_photo,1,831,12,144.4
texte,texte_1_50,958,21,219.2
texte,texte_201p,2355,58,246.3
texte,texte_51_200,2060,51,247.6
texte,texte_sans_texte,2358,22,93.3
avis_auteur,0,1259,48,381.3
avis_auteur,1_5,2694,51,189.3
avis_auteur,6_20,1863,32,171.8
avis_auteur,21_100,1398,15,107.3
avis_auteur,plus_de_100,517,6,116.1
photos_auteur,0,3940,91,231.0
photos_auteur,1_10,2041,46,225.4
photos_auteur,11_100,1171,13,111.0
photos_auteur,plus_de_100,579,2,34.5
profil,guide_1_3,3961,71,179.2
profil,guide_4_et_plus,3229,47,145.6
profil,guide_sans_niveau,541,34,628.5
rafale,1,7659,147,191.9
rafale,2,69,5,724.6
rafale,3,3,0,0.0
pic_fiche,jusqu_a_1x,308,7,227.3
pic_fiche,1x_3x,2018,22,109.0
pic_fiche,3x_10x,3488,68,195.0
pic_fiche,plus_de_10x,1917,55,286.9
