variable,passage,risque_relatif,borne_basse,borne_haute,coefficient,p_value,avis,suppressions,auc,suppressions_trouvees_dans_10pct_des_avis,suppressions_trouvees_dans_20pct_des_avis,suppressions_trouvees_dans_50pct_des_avis
const,US_avec_enseignes,0.006086884132957406,0.0023215747476184466,0.015959063340974047,-5.10161896481541,3.270619307118051e-25,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
etoiles_1,US_avec_enseignes,1.9869226333242633,1.2430814673458181,3.175867112913809,0.6865870263870091,0.004113750502126383,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
etoiles_2,US_avec_enseignes,1.0468484707102834,0.42211470343639057,2.5961941427458513,0.04578419429912274,0.9212979006920162,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
etoiles_4,US_avec_enseignes,0.6348919340381451,0.397153672977152,1.0149415587298014,-0.4543004771892444,0.05769581058872744,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
etoiles_5,US_avec_enseignes,1.0,1.0,1.0,0.0,,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
has_photo,US_avec_enseignes,0.6029887378740937,0.3447035258190194,1.0548062052428555,-0.5058567592550809,0.07623613552146428,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
texte_sans_texte,US_avec_enseignes,1.0,1.0,1.0,0.0,,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
texte_1_50,US_avec_enseignes,0.9679854871771267,0.7109473231771707,1.3179540492510395,-0.03253818440356282,0.8362892731310525,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
texte_51_200,US_avec_enseignes,0.9152439958412768,0.6702818285325518,1.2497303914047944,-0.08856458713302584,0.577347321576949,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
texte_201p,US_avec_enseignes,1.197191580618263,0.8400441437155096,1.7061813851399776,0.17997846441092225,0.3194022292871158,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
log_rc,US_avec_enseignes,1.09535330016921,0.9258153599388684,1.2959375099056492,0.09107695978496824,0.2884398808513987,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
log_photos_auteur,US_avec_enseignes,0.8159494731196324,0.7285160917243391,0.9138762345089361,-0.20340284613169346,0.0004359330910609855,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
guide_1_3,US_avec_enseignes,1.0,1.0,1.0,0.0,,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
guide_sans_niveau,US_avec_enseignes,1.5891023107962787,1.1361735736194656,2.2225883551696164,0.4631692723894954,0.006814580983153429,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
guide_4_et_plus,US_avec_enseignes,0.7153845685349439,0.4612830024295282,1.1094600889312274,-0.3349350227911167,0.13465184641894434,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
log_burst,US_avec_enseignes,44.4220220414759,14.184924751745863,139.1136066485299,3.7937353383999746,7.339288279419203e-11,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
log_ratio_pic_journalier_fiche,US_avec_enseignes,0.7180330918902357,0.5863180530248905,0.87933761955572,-0.3312396220123623,0.001357261557766885,9948,509,0.5853545892945804,0.1322314049586777,0.25413223140495866,0.5971074380165289
const,US_sans_enseignes,0.013136011981293527,0.003073011315861294,0.05615170041257201,-4.332397814176445,5.059085975016588e-09,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
etoiles_1,US_sans_enseignes,3.2022126937636246,1.9081988405748562,5.373740890132687,1.1638420376537908,1.0512773342457758e-05,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
etoiles_2,US_sans_enseignes,1.4087232821736837,0.5159623631517805,3.8462132656649146,0.34268382056551033,0.5036855093452373,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
etoiles_4,US_sans_enseignes,0.7395184936469377,0.4057021322097747,1.3480027809246486,-0.3017559888316963,0.32457784209486173,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
etoiles_5,US_sans_enseignes,1.0,1.0,1.0,0.0,,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
has_photo,US_sans_enseignes,0.7378982264759033,0.4018579472392982,1.3549409595526762,-0.3039493683955611,0.3269426033102387,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
texte_sans_texte,US_sans_enseignes,1.0,1.0,1.0,0.0,,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
texte_1_50,US_sans_enseignes,0.8805006099951789,0.544397412255728,1.4241091282735514,-0.1272646582634031,0.6039156712952887,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
texte_51_200,US_sans_enseignes,0.8659430090594024,0.5326145376722659,1.407879886673808,-0.1439361819854637,0.5616129032754005,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
texte_201p,US_sans_enseignes,1.3185391904787815,0.8340188693777931,2.084539883522606,0.2765244499028641,0.23669155599086633,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
log_rc,US_sans_enseignes,0.9634000048023386,0.7796844524892911,1.1904041003894377,-0.03728657980123513,0.729790744417997,8800,293,0.5702017397509997,0.22968197879858657,0.3215547703180212,0.558303886925795
