caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,14160,274,193.5
has_photo,1,1663,31,186.4
langue_minoritaire_sur_la_fiche,0,13044,257,197.0
langue_minoritaire_sur_la_fiche,1,2779,48,172.7
vu_tardivement,0,15626,280,179.2
vu_tardivement,1,197,25,1269.0
langue_etrangere_au_pays,0,12454,227,182.3
langue_etrangere_au_pays,1,3369,78,231.5
langue_inconnue,0,11051,238,215.4
langue_inconnue,1,4772,67,140.4
rythme_fiche_inconnu,0,15816,305,192.8
rythme_fiche_inconnu,1,7,0,0.0
star,1,1300,82,630.8
star,2,586,19,324.2
star,3,828,6,72.5
star,4,2039,18,88.3
star,5,11070,180,162.6
bucket,large,6280,133,211.8
bucket,mono,3887,78,200.7
bucket,small,5656,94,166.2
secteur,automotive,1248,27,216.3
secteur,food_beverage,3283,47,143.2
secteur,healthcare,1326,9,67.9
secteur,home_services,1010,40,396.0
secteur,hospitality,5504,91,165.3
secteur,travel,1201,25,208.2
secteur,wellness_fitness,2251,66,293.2
palier_local_guide,1_3,8166,156,191.0
palier_local_guide,4_et_plus,6543,82,125.3
palier_local_guide,sans_niveau,1114,67,601.4
tranche_photos_auteur,0,8155,190,233.0
tranche_photos_auteur,1_10,4098,82,200.1
tranche_photos_auteur,11_100,2410,25,103.7
tranche_photos_auteur,plus_de_100,1160,8,69.0
taille_texte,sans_texte,4919,69,140.3
taille_texte,texte_1_50,1944,36,185.2
taille_texte,texte_51_200,4167,85,204.0
taille_texte,texte_201p,4793,115,239.9
n_avis_meme_jour_auteur,1,15688,300,191.2
n_avis_meme_jour_auteur,2,117,5,427.4
n_avis_meme_jour_auteur,3,6,0,0.0
n_avis_meme_jour_auteur,12,12,0,0.0
age_a_la_premiere_observation_j,0.0,232,11,474.1
age_a_la_premiere_observation_j,1.0,8469,176,207.8
age_a_la_premiere_observation_j,2.0,1185,25,211.0
age_a_la_premiere_observation_j,3.0,1090,17,156.0
age_a_la_premiere_observation_j,4.0,1205,6,49.8
age_a_la_premiere_observation_j,5.0,1177,12,102.0
age_a_la_premiere_observation_j,6.0,1118,11,98.4
age_a_la_premiere_observation_j,7.0,1150,22,191.3
age_a_la_premiere_observation_j,8.0,165,25,1515.2
age_a_la_premiere_observation_j,9.0,12,0,0.0
age_a_la_premiere_observation_j,10.0,4,0,0.0
age_a_la_premiere_observation_j,11.0,8,0,0.0
age_a_la_premiere_observation_j,12.0,1,0,0.0
age_a_la_premiere_observation_j,13.0,2,0,0.0
age_a_la_premiere_observation_j,14.0,2,0,0.0
age_a_la_premiere_observation_j,15.0,2,0,0.0
age_a_la_premiere_observation_j,17.0,1,0,0.0
tranche_fenetre,0_5_j,118,2,169.5
tranche_fenetre,6_9_j,4535,89,196.3
tranche_fenetre,10_12_j,3289,82,249.3
tranche_fenetre,13_j,7881,132,167.5
ne_pendant_la_surveillance,0,8032,154,191.7
ne_pendant_la_surveillance,1,7791,151,193.8
avis_modifie,0,15680,300,191.3
avis_modifie,1,143,5,349.7
note_modifiee,0,15801,305,193.0
note_modifiee,1,22,0,0.0
texte_modifiee,0,15684,300,191.3
texte_modifiee,1,139,5,359.7
reponse_avant_surveillance,0,12260,270,220.2
reponse_avant_surveillance,1,3563,35,98.2
reponse_dans_les_2_jours,0,10847,242,223.1
reponse_dans_les_2_jours,1,4976,63,126.6
