caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,18429,1008,547.0
has_photo,1,1499,42,280.2
langue_minoritaire_sur_la_fiche,0,19618,1040,530.1
langue_minoritaire_sur_la_fiche,1,310,10,322.6
vu_tardivement,0,19713,1043,529.1
vu_tardivement,1,215,7,325.6
langue_etrangere_au_pays,0,19597,1040,530.7
langue_etrangere_au_pays,1,331,10,302.1
langue_inconnue,0,15335,785,511.9
langue_inconnue,1,4593,265,577.0
rythme_fiche_inconnu,0,19922,1048,526.1
rythme_fiche_inconnu,1,6,2,3333.3
star,1,1187,100,842.5
star,2,293,13,443.7
star,3,366,6,163.9
star,4,1040,30,288.5
star,5,17042,901,528.7
bucket,large,10135,655,646.3
bucket,mono,4175,98,234.7
bucket,small,5618,297,528.7
secteur,automotive,3341,91,272.4
secteur,food_beverage,3737,61,163.2
secteur,healthcare,3019,127,420.7
secteur,home_services,5455,641,1175.1
secteur,hospitality,1849,23,124.4
secteur,travel,1306,42,321.6
secteur,wellness_fitness,1221,65,532.4
palier_local_guide,1_3,12746,733,575.1
palier_local_guide,4_et_plus,5341,174,325.8
palier_local_guide,sans_niveau,1841,143,776.8
tranche_photos_auteur,0,12790,782,611.4
tranche_photos_auteur,1_10,4874,239,490.4
tranche_photos_auteur,11_100,1548,22,142.1
tranche_photos_auteur,plus_de_100,716,7,97.8
taille_texte,sans_texte,4664,265,568.2
taille_texte,texte_1_50,3194,165,516.6
taille_texte,texte_51_200,7227,363,502.3
taille_texte,texte_201p,4843,257,530.7
n_avis_meme_jour_auteur,1,19758,986,499.0
n_avis_meme_jour_auteur,2,107,21,1962.6
n_avis_meme_jour_auteur,3,15,3,2000.0
n_avis_meme_jour_auteur,4,48,40,8333.3
age_a_la_premiere_observation_j,0.0,1781,84,471.6
age_a_la_premiere_observation_j,1.0,9392,542,577.1
age_a_la_premiere_observation_j,2.0,1078,43,398.9
age_a_la_premiere_observation_j,3.0,1363,61,447.5
age_a_la_premiere_observation_j,4.0,1672,110,657.9
age_a_la_premiere_observation_j,5.0,1604,96,598.5
age_a_la_premiere_observation_j,6.0,1457,59,404.9
age_a_la_premiere_observation_j,7.0,1366,48,351.4
age_a_la_premiere_observation_j,8.0,147,3,204.1
age_a_la_premiere_observation_j,9.0,37,1,270.3
age_a_la_premiere_observation_j,10.0,6,2,3333.3
age_a_la_premiere_observation_j,11.0,2,0,0.0
age_a_la_premiere_observation_j,12.0,2,0,0.0
age_a_la_premiere_observation_j,13.0,5,0,0.0
age_a_la_premiere_observation_j,14.0,4,1,2500.0
age_a_la_premiere_observation_j,15.0,6,0,0.0
age_a_la_premiere_observation_j,16.0,5,0,0.0
age_a_la_premiere_observation_j,18.0,1,0,0.0
tranche_fenetre,0_5_j,148,0,0.0
tranche_fenetre,6_9_j,5183,252,486.2
tranche_fenetre,10_12_j,4649,295,634.5
tranche_fenetre,13_j,9948,503,505.6
ne_pendant_la_surveillance,0,9894,499,504.3
ne_pendant_la_surveillance,1,10034,551,549.1
avis_modifie,0,19791,1043,527.0
avis_modifie,1,137,7,510.9
note_modifiee,0,19902,1048,526.6
note_modifiee,1,26,2,769.2
texte_modifiee,0,19795,1043,526.9
texte_modifiee,1,133,7,526.3
reponse_avant_surveillance,0,12968,654,504.3
reponse_avant_surveillance,1,6960,396,569.0
reponse_dans_les_2_jours,0,10315,571,553.6
reponse_dans_les_2_jours,1,9613,479,498.3
