caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,32589,1282,393.4
has_photo,1,3162,73,230.9
langue_minoritaire_sur_la_fiche,0,32662,1297,397.1
langue_minoritaire_sur_la_fiche,1,3089,58,187.8
vu_tardivement,0,35339,1323,374.4
vu_tardivement,1,412,32,776.7
langue_etrangere_au_pays,0,32051,1267,395.3
langue_etrangere_au_pays,1,3700,88,237.8
langue_inconnue,0,26386,1023,387.7
langue_inconnue,1,9365,332,354.5
rythme_fiche_inconnu,0,35738,1353,378.6
rythme_fiche_inconnu,1,13,2,1538.5
star,1,2487,182,731.8
star,2,879,32,364.1
star,3,1194,12,100.5
star,4,3079,48,155.9
star,5,28112,1081,384.5
bucket,large,16415,788,480.0
bucket,mono,8062,176,218.3
bucket,small,11274,391,346.8
secteur,automotive,4589,118,257.1
secteur,food_beverage,7020,108,153.8
secteur,healthcare,4345,136,313.0
secteur,home_services,6465,681,1053.4
secteur,hospitality,7353,114,155.0
secteur,travel,2507,67,267.3
secteur,wellness_fitness,3472,131,377.3
palier_local_guide,1_3,20912,889,425.1
palier_local_guide,4_et_plus,11884,256,215.4
palier_local_guide,sans_niveau,2955,210,710.7
tranche_photos_auteur,0,20945,972,464.1
tranche_photos_auteur,1_10,8972,321,357.8
tranche_photos_auteur,11_100,3958,47,118.7
tranche_photos_auteur,plus_de_100,1876,15,80.0
taille_texte,sans_texte,9583,334,348.5
taille_texte,texte_1_50,5138,201,391.2
taille_texte,texte_51_200,11394,448,393.2
taille_texte,texte_201p,9636,372,386.1
n_avis_meme_jour_auteur,1,35446,1286,362.8
n_avis_meme_jour_auteur,2,224,26,1160.7
n_avis_meme_jour_auteur,3,21,3,1428.6
n_avis_meme_jour_auteur,4,48,40,8333.3
n_avis_meme_jour_auteur,12,12,0,0.0
age_a_la_premiere_observation_j,0.0,2013,95,471.9
age_a_la_premiere_observation_j,1.0,17861,718,402.0
age_a_la_premiere_observation_j,2.0,2263,68,300.5
age_a_la_premiere_observation_j,3.0,2453,78,318.0
age_a_la_premiere_observation_j,4.0,2877,116,403.2
age_a_la_premiere_observation_j,5.0,2781,108,388.3
age_a_la_premiere_observation_j,6.0,2575,70,271.8
age_a_la_premiere_observation_j,7.0,2516,70,278.2
age_a_la_premiere_observation_j,8.0,312,28,897.4
age_a_la_premiere_observation_j,9.0,49,1,204.1
age_a_la_premiere_observation_j,10.0,10,2,2000.0
age_a_la_premiere_observation_j,11.0,10,0,0.0
age_a_la_premiere_observation_j,12.0,3,0,0.0
age_a_la_premiere_observation_j,13.0,7,0,0.0
age_a_la_premiere_observation_j,14.0,6,1,1666.7
age_a_la_premiere_observation_j,15.0,8,0,0.0
age_a_la_premiere_observation_j,16.0,5,0,0.0
age_a_la_premiere_observation_j,17.0,1,0,0.0
age_a_la_premiere_observation_j,18.0,1,0,0.0
tranche_fenetre,0_5_j,266,2,75.2
tranche_fenetre,6_9_j,9718,341,350.9
tranche_fenetre,10_12_j,7938,377,474.9
tranche_fenetre,13_j,17829,635,356.2
ne_pendant_la_surveillance,0,17926,653,364.3
ne_pendant_la_surveillance,1,17825,702,393.8
avis_modifie,0,35471,1343,378.6
avis_modifie,1,280,12,428.6
note_modifiee,0,35703,1353,379.0
note_modifiee,1,48,2,416.7
texte_modifiee,0,35479,1343,378.5
texte_modifiee,1,272,12,441.2
reponse_avant_surveillance,0,25228,924,366.3
reponse_avant_surveillance,1,10523,431,409.6
reponse_dans_les_2_jours,0,21162,813,384.2
reponse_dans_les_2_jours,1,14589,542,371.5
