caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,30275,810,267.5
has_photo,1,3136,70,223.2
langue_minoritaire_sur_la_fiche,0,30330,824,271.7
langue_minoritaire_sur_la_fiche,1,3081,56,181.8
vu_tardivement,0,33035,872,264.0
vu_tardivement,1,376,8,212.8
langue_etrangere_au_pays,0,29719,794,267.2
langue_etrangere_au_pays,1,3692,86,232.9
langue_inconnue,0,24714,705,285.3
langue_inconnue,1,8697,175,201.2
rythme_fiche_inconnu,0,33398,878,262.9
rythme_fiche_inconnu,1,13,2,1538.5
star,1,2361,153,648.0
star,2,864,24,277.8
star,3,1180,11,93.2
star,4,3004,34,113.2
star,5,26002,658,253.1
bucket,large,14075,313,222.4
bucket,mono,8062,176,218.3
bucket,small,11274,391,346.8
secteur,automotive,4589,118,257.1
secteur,food_beverage,7020,108,153.8
secteur,healthcare,4345,136,313.0
secteur,home_services,4162,229,550.2
secteur,hospitality,7353,114,155.0
secteur,travel,2507,67,267.3
secteur,wellness_fitness,3435,108,314.4
palier_local_guide,1_3,19139,532,278.0
palier_local_guide,4_et_plus,11510,182,158.1
palier_local_guide,sans_niveau,2762,166,601.0
tranche_photos_auteur,0,19197,612,318.8
tranche_photos_auteur,1_10,8487,213,251.0
tranche_photos_auteur,11_100,3868,42,108.6
tranche_photos_auteur,plus_de_100,1859,13,69.9
taille_texte,sans_texte,8915,177,198.5
taille_texte,texte_1_50,4794,128,267.0
taille_texte,texte_51_200,10525,284,269.8
taille_texte,texte_201p,9177,291,317.1
n_avis_meme_jour_auteur,1,33166,862,259.9
n_avis_meme_jour_auteur,2,208,15,721.2
n_avis_meme_jour_auteur,3,21,3,1428.6
n_avis_meme_jour_auteur,4,4,0,0.0
n_avis_meme_jour_auteur,12,12,0,0.0
age_a_la_premiere_observation_j,0.0,1879,77,409.8
age_a_la_premiere_observation_j,1.0,16732,482,288.1
age_a_la_premiere_observation_j,2.0,2214,53,239.4
age_a_la_premiere_observation_j,3.0,2298,40,174.1
age_a_la_premiere_observation_j,4.0,2664,73,274.0
age_a_la_premiere_observation_j,5.0,2541,57,224.3
age_a_la_premiere_observation_j,6.0,2362,40,169.3
age_a_la_premiere_observation_j,7.0,2345,50,213.2
age_a_la_premiere_observation_j,8.0,280,6,214.3
age_a_la_premiere_observation_j,9.0,49,1,204.1
age_a_la_premiere_observation_j,10.0,9,1,1111.1
age_a_la_premiere_observation_j,11.0,10,0,0.0
age_a_la_premiere_observation_j,12.0,2,0,0.0
age_a_la_premiere_observation_j,13.0,7,0,0.0
age_a_la_premiere_observation_j,14.0,5,0,0.0
age_a_la_premiere_observation_j,15.0,7,0,0.0
age_a_la_premiere_observation_j,16.0,5,0,0.0
age_a_la_premiere_observation_j,17.0,1,0,0.0
age_a_la_premiere_observation_j,18.0,1,0,0.0
tranche_fenetre,0_5_j,255,2,78.4
tranche_fenetre,6_9_j,9251,257,277.8
tranche_fenetre,10_12_j,7257,218,300.4
tranche_fenetre,13_j,16648,403,242.1
ne_pendant_la_surveillance,0,16729,402,240.3
ne_pendant_la_surveillance,1,16682,478,286.5
avis_modifie,0,33140,869,262.2
avis_modifie,1,271,11,405.9
note_modifiee,0,33364,878,263.2
note_modifiee,1,47,2,425.5
texte_modifiee,0,33148,869,262.2
texte_modifiee,1,263,11,418.3
reponse_avant_surveillance,0,23721,683,287.9
reponse_avant_surveillance,1,9690,197,203.3
reponse_dans_les_2_jours,0,19751,597,302.3
reponse_dans_les_2_jours,1,13660,283,207.2
