caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,32354,1273,393.5
has_photo,1,3117,70,224.6
langue_minoritaire_sur_la_fiche,0,32426,1287,396.9
langue_minoritaire_sur_la_fiche,1,3045,56,183.9
vu_tardivement,0,35139,1314,373.9
vu_tardivement,1,332,29,873.5
langue_etrangere_au_pays,0,31833,1259,395.5
langue_etrangere_au_pays,1,3638,84,230.9
langue_inconnue,0,26111,1011,387.2
langue_inconnue,1,9360,332,354.7
rythme_fiche_inconnu,0,35458,1341,378.2
rythme_fiche_inconnu,1,13,2,1538.5
star,1,2434,177,727.2
star,2,856,31,362.1
star,3,1176,11,93.5
star,4,3047,47,154.3
star,5,27958,1077,385.2
bucket,large,16272,783,481.2
bucket,mono,8015,175,218.3
bucket,small,11184,385,344.2
secteur,automotive,4552,114,250.4
secteur,food_beverage,6985,108,154.6
secteur,healthcare,4309,135,313.3
secteur,home_services,6427,679,1056.5
secteur,hospitality,7250,110,151.7
secteur,travel,2498,67,268.2
secteur,wellness_fitness,3450,130,376.8
palier_local_guide,1_3,20777,881,424.0
palier_local_guide,4_et_plus,11747,252,214.5
palier_local_guide,sans_niveau,2947,210,712.6
tranche_photos_auteur,0,20816,966,464.1
tranche_photos_auteur,1_10,8894,318,357.5
tranche_photos_auteur,11_100,3912,46,117.6
tranche_photos_auteur,plus_de_100,1849,13,70.3
taille_texte,sans_texte,9578,334,348.7
taille_texte,texte_1_50,5117,201,392.8
taille_texte,texte_51_200,11317,446,394.1
taille_texte,texte_201p,9459,362,382.7
n_avis_meme_jour_auteur,1,35166,1274,362.3
n_avis_meme_jour_auteur,2,224,26,1160.7
n_avis_meme_jour_auteur,3,21,3,1428.6
n_avis_meme_jour_auteur,4,48,40,8333.3
n_avis_meme_jour_auteur,12,12,0,0.0
age_a_la_premiere_observation_j,0.0,2013,95,471.9
age_a_la_premiere_observation_j,1.0,17854,717,401.6
age_a_la_premiere_observation_j,2.0,2181,64,293.4
age_a_la_premiere_observation_j,3.0,2421,76,313.9
age_a_la_premiere_observation_j,4.0,2854,116,406.4
age_a_la_premiere_observation_j,5.0,2763,108,390.9
age_a_la_premiere_observation_j,6.0,2553,69,270.3
age_a_la_premiere_observation_j,7.0,2500,69,276.0
age_a_la_premiere_observation_j,8.0,293,28,955.6
age_a_la_premiere_observation_j,9.0,34,0,0.0
age_a_la_premiere_observation_j,10.0,2,0,0.0
age_a_la_premiere_observation_j,12.0,1,0,0.0
age_a_la_premiere_observation_j,13.0,1,0,0.0
age_a_la_premiere_observation_j,14.0,1,1,10000.0
tranche_fenetre,0_5_j,168,1,59.5
tranche_fenetre,6_9_j,9615,336,349.5
tranche_fenetre,10_12_j,7859,371,472.1
tranche_fenetre,13_j,17829,635,356.2
ne_pendant_la_surveillance,0,17812,648,363.8
ne_pendant_la_surveillance,1,17659,695,393.6
avis_modifie,0,35471,1343,378.6
note_modifiee,0,35471,1343,378.6
texte_modifiee,0,35471,1343,378.6
reponse_avant_surveillance,0,25096,917,365.4
reponse_avant_surveillance,1,10375,426,410.6
reponse_dans_les_2_jours,0,21010,806,383.6
reponse_dans_les_2_jours,1,14461,537,371.3
