caracteristique,valeur,avis,suppressions,taux_pour_10000_avis
has_photo,0,32225,1251,388.2
has_photo,1,3114,72,231.2
langue_minoritaire_sur_la_fiche,0,32299,1265,391.7
langue_minoritaire_sur_la_fiche,1,3040,58,190.8
vu_tardivement,0,35339,1323,374.4
langue_etrangere_au_pays,0,31707,1237,390.1
langue_etrangere_au_pays,1,3632,86,236.8
langue_inconnue,0,26021,1009,387.8
langue_inconnue,1,9318,314,337.0
rythme_fiche_inconnu,0,35326,1321,373.9
rythme_fiche_inconnu,1,13,2,1538.5
star,1,2286,161,704.3
star,2,819,25,305.3
star,3,1135,11,96.9
star,4,3071,48,156.3
star,5,28028,1078,384.6
bucket,large,16219,762,469.8
bucket,mono,7976,175,219.4
bucket,small,11144,386,346.4
secteur,automotive,4538,115,253.4
secteur,food_beverage,6959,108,155.2
secteur,healthcare,4303,135,313.7
secteur,home_services,6419,678,1056.2
secteur,hospitality,7248,113,155.9
secteur,travel,2467,67,271.6
secteur,wellness_fitness,3405,107,314.2
palier_local_guide,1_3,20666,871,421.5
palier_local_guide,4_et_plus,11756,251,213.5
palier_local_guide,sans_niveau,2917,201,689.1
tranche_photos_auteur,0,20685,946,457.3
tranche_photos_auteur,1_10,8879,316,355.9
tranche_photos_auteur,11_100,3915,46,117.5
tranche_photos_auteur,plus_de_100,1860,15,80.6
taille_texte,sans_texte,9536,316,331.4
taille_texte,texte_1_50,5107,198,387.7
taille_texte,texte_51_200,11299,443,392.1
taille_texte,texte_201p,9397,366,389.5
n_avis_meme_jour_auteur,1,35036,1254,357.9
n_avis_meme_jour_auteur,2,222,26,1171.2
n_avis_meme_jour_auteur,3,21,3,1428.6
n_avis_meme_jour_auteur,4,48,40,8333.3
n_avis_meme_jour_auteur,12,12,0,0.0
age_a_la_premiere_observation_j,0.0,2013,95,471.9
age_a_la_premiere_observation_j,1.0,17861,718,402.0
age_a_la_premiere_observation_j,2.0,2263,68,300.5
age_a_la_premiere_observation_j,3.0,2453,78,318.0
age_a_la_premiere_observation_j,4.0,2877,116,403.2
age_a_la_premiere_observation_j,5.0,2781,108,388.3
age_a_la_premiere_observation_j,6.0,2575,70,271.8
age_a_la_premiere_observation_j,7.0,2516,70,278.2
tranche_fenetre,0_5_j,67,1,149.3
tranche_fenetre,6_9_j,9591,336,350.3
tranche_fenetre,10_12_j,7852,351,447.0
tranche_fenetre,13_j,17829,635,356.2
ne_pendant_la_surveillance,0,17677,622,351.9
ne_pendant_la_surveillance,1,17662,701,396.9
avis_modifie,0,35139,1314,373.9
avis_modifie,1,200,9,450.0
note_modifiee,0,35305,1322,374.5
note_modifiee,1,34,1,294.1
texte_modifiee,0,35146,1314,373.9
texte_modifiee,1,193,9,466.3
reponse_avant_surveillance,0,24891,894,359.2
reponse_avant_surveillance,1,10448,429,410.6
reponse_dans_les_2_jours,0,20790,783,376.6
reponse_dans_les_2_jours,1,14549,540,371.2
