variable,modele,coefficient,std_err,z,risque_relatif,borne_basse,borne_haute,p_value
const,jalon2_fenetre6_sans_habitude,-7.356846101531389,0.5959471412825094,-12.344796361803283,0.000638208132371949,0.0001984683264336686,0.002052265102168939,5.196555731470137e-35
reponse_au_jalon,jalon2_fenetre6_sans_habitude,-0.2399969426773464,0.19223106172340662,-1.2484815956677602,0.7866302660454094,0.5396886388907911,1.1465632790240865,0.21185474416216354
has_photo,jalon2_fenetre6_sans_habitude,-0.17282355960157997,0.23232010325205069,-0.7439027324040003,0.8412860385941001,0.5335712875006609,1.3264623028136182,0.4569353222153757
langue_minoritaire_sur_la_fiche,jalon2_fenetre6_sans_habitude,0.07588473231912413,0.3080466275808724,0.24634170779617406,1.0788382118112263,0.5898567528749628,1.973177185123733,0.8054177263330211
log_rc,jalon2_fenetre6_sans_habitude,-0.0017570435978886355,0.07496132696362597,-0.02343933424152455,0.9982444990995526,0.8618461153938094,1.1562297052614579,0.9812998294285998
log_photos_auteur,jalon2_fenetre6_sans_habitude,-0.14900555280237385,0.051747162775484475,-2.879492223542082,0.8615643307892145,0.7784674279017052,0.9535313482402941,0.003983161209366046
log_burst,jalon2_fenetre6_sans_habitude,3.611263067429001,0.5193060779085621,6.954016563743862,37.0127729312291,13.375729826698006,102.42023260101362,3.5502989694923804e-12
log_ratio_pic_journalier_fiche,jalon2_fenetre6_sans_habitude,0.02693729750964509,0.11962454479368882,0.2251820272846401,1.0273033862633043,0.8125949565938645,1.2987432900786726,0.8218376705704115
etoiles_1,jalon2_fenetre6_sans_habitude,0.8853126339699632,0.23194188062959112,3.8169589362940393,2.423742017138606,1.5383569040768719,3.8187012065111565,0.00013510664556685482
etoiles_2,jalon2_fenetre6_sans_habitude,0.35970852424481414,0.41516490090274577,0.8664232536581349,1.4329116946673692,0.6350829052455935,3.233020299799289,0.3862580964371861
etoiles_3,jalon2_fenetre6_sans_habitude,-0.5675178531872989,0.4777190925521853,-1.187973983110805,0.5669308994230411,0.22227719067722068,1.4459902239242985,0.23484365990495726
etoiles_4,jalon2_fenetre6_sans_habitude,-0.4989750174045271,0.2732559359940554,-1.8260354183683027,0.6071526617986601,0.3553874022695371,1.037274682149859,0.06784492694889846
guide_4_et_plus,jalon2_fenetre6_sans_habitude,-0.14643237554451685,0.1972028988160137,-0.7425467699698233,0.8637841432920805,0.5868752782661486,1.2713485707000014,0.45775612581702607
guide_sans_niveau,jalon2_fenetre6_sans_habitude,0.6941256653161025,0.1603555065844853,4.328667472048387,2.0019579272570867,1.4620428172856623,2.7412572977501357,1.5001423614922899e-05
texte_texte_1_50,jalon2_fenetre6_sans_habitude,0.026055897684219103,0.15088048350417088,0.17269229975326017,1.0263983201591382,0.7636357153056679,1.3795760079186563,0.8628932967615849
texte_texte_51_200,jalon2_fenetre6_sans_habitude,0.06765871053576335,0.16473361663894678,0.41071586914802966,1.070000066406287,0.7747512684176158,1.477764785655466,0.6812808892948253
texte_texte_201p,jalon2_fenetre6_sans_habitude,0.2868727013341976,0.16752181788296405,1.7124497868965092,1.3322546084464937,0.9593838453492263,1.850044015574221,0.08681381069014892
secteur_food_beverage,jalon2_fenetre6_sans_habitude,-0.6053009311490606,0.5404752157919605,-1.1199420685037533,0.5459101205586769,0.18926391001273765,1.5746153596231436,0.2627384497152996
secteur_healthcare,jalon2_fenetre6_sans_habitude,0.35168779980849035,0.3638529594448045,0.9665657257402092,1.4214646728939246,0.6966648040052498,2.9003357205199163,0.3337611754130686
secteur_home_services,jalon2_fenetre6_sans_habitude,1.4490860589015844,0.3436608462931602,4.21661668628215,4.259220059528768,2.171728028760804,8.353235430609393,2.479949893760278e-05
secteur_hospitality,jalon2_fenetre6_sans_habitude,-0.4326068486139525,0.41008236080220095,-1.054926741466493,0.6488155243911873,0.2904413819135153,1.4493856967543315,0.29145883091315306
secteur_travel,jalon2_fenetre6_sans_habitude,0.8602801487308067,0.5288533937774023,1.6266892845031151,2.3638228229178275,0.8384054573651464,6.664625437562775,0.10380310570166801
secteur_wellness_fitness,jalon2_fenetre6_sans_habitude,0.2006955523397314,0.45183136202611307,0.4441824300105411,1.2222526032279628,0.5041519116525932,2.9631969879883475,0.6569106941100968
taille_large,jalon2_fenetre6_sans_habitude,0.5144104189702757,0.271653541638423,1.8936267713195054,1.6726520471123127,0.9821406636165408,2.848639685080128,0.05827456745878199
taille_small,jalon2_fenetre6_sans_habitude,0.8287607487885151,0.29295359871799775,2.828982993946064,2.2904785024845338,1.289922638164078,4.067136753108495,0.004669618021892853
region_US,jalon2_fenetre6_sans_habitude,0.6640069700051686,0.239089213463375,2.7772351599913763,1.942560542346589,1.215798086566298,3.103756703005883,0.005482349812041489
