caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,10379,345,332.4
reponse_au_jalon,1,6975,251,359.9
has_photo,0,15860,569,358.8
has_photo,1,1494,27,180.7
langue_minoritaire_sur_la_fiche,0,15812,573,362.4
langue_minoritaire_sur_la_fiche,1,1542,23,149.2
star,1,1124,73,649.5
star,2,398,9,226.1
star,3,575,5,87.0
star,4,1516,17,112.1
star,5,13741,492,358.1
bucket,large,7824,315,402.6
bucket,mono,3972,77,193.9
bucket,small,5558,204,367.0
secteur,automotive,2325,60,258.1
secteur,food_beverage,3446,41,119.0
secteur,healthcare,2041,69,338.1
secteur,home_services,3093,309,999.0
secteur,hospitality,3621,40,110.5
secteur,travel,1166,30,257.3
secteur,wellness_fitness,1662,47,282.8
palier_local_guide,1_3,10263,399,388.8
palier_local_guide,4_et_plus,5675,101,178.0
palier_local_guide,sans_niveau,1416,96,678.0
taille_texte,sans_texte,4659,140,300.5
taille_texte,texte_1_50,2566,85,331.3
taille_texte,texte_51_200,5549,198,356.8
taille_texte,texte_201p,4580,173,377.7
habitude_reponse_fiche,habitude_25_75,3082,75,243.3
habitude_reponse_fiche,habitude_historique_insuffisant,287,3,104.5
habitude_reponse_fiche,habitude_moins_de_25,5345,204,381.7
habitude_reponse_fiche,habitude_plus_de_75,8640,314,363.4
region,Europe,7586,117,154.2
region,US,9768,479,490.4
n_avis_meme_jour_auteur,1,17214,572,332.3
n_avis_meme_jour_auteur,2,118,15,1271.2
n_avis_meme_jour_auteur,3,10,1,1000.0
n_avis_meme_jour_auteur,4,12,8,6666.7
