caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8389,202,240.8
reponse_au_jalon,1,7762,117,150.7
has_photo,0,14673,297,202.4
has_photo,1,1478,22,148.8
langue_minoritaire_sur_la_fiche,0,14620,304,207.9
langue_minoritaire_sur_la_fiche,1,1531,15,98.0
star,1,1040,39,375.0
star,2,394,6,152.3
star,3,567,2,35.3
star,4,1480,10,67.6
star,5,12670,262,206.8
bucket,large,6663,80,120.1
bucket,mono,3956,61,154.2
bucket,small,5532,178,321.8
secteur,automotive,2319,54,232.9
secteur,food_beverage,3431,26,75.8
secteur,healthcare,2034,62,304.8
secteur,home_services,1944,86,442.4
secteur,hospitality,3606,25,69.3
secteur,travel,1162,26,223.8
secteur,wellness_fitness,1655,40,241.7
palier_local_guide,1_3,9337,188,201.3
palier_local_guide,4_et_plus,5494,56,101.9
palier_local_guide,sans_niveau,1320,75,568.2
taille_texte,sans_texte,4315,71,164.5
taille_texte,texte_1_50,2383,41,172.1
taille_texte,texte_51_200,5133,111,216.2
taille_texte,texte_201p,4320,96,222.2
habitude_reponse_fiche,habitude_25_75,3050,64,209.8
habitude_reponse_fiche,habitude_historique_insuffisant,285,1,35.1
habitude_reponse_fiche,habitude_moins_de_25,4629,90,194.4
habitude_reponse_fiche,habitude_plus_de_75,8187,164,200.3
region,Europe,7553,84,111.2
region,US,8598,235,273.3
n_avis_meme_jour_auteur,1,16034,317,197.7
n_avis_meme_jour_auteur,2,104,2,192.3
n_avis_meme_jour_auteur,3,9,0,0.0
n_avis_meme_jour_auteur,4,4,0,0.0
