caracteristique,valeur,avis_au_jalon,supprimes_dans_la_fenetre,taux_pour_10000_avis
reponse_au_jalon,0,8157,135,165.5
reponse_au_jalon,1,7909,99,125.2
has_photo,0,14596,220,150.7
has_photo,1,1470,14,95.2
langue_minoritaire_sur_la_fiche,0,14540,224,154.1
langue_minoritaire_sur_la_fiche,1,1526,10,65.5
star,1,1031,30,291.0
star,2,392,4,102.0
star,3,566,1,17.7
star,4,1478,8,54.1
star,5,12599,191,151.6
bucket,large,6646,63,94.8
bucket,mono,3934,39,99.1
bucket,small,5486,132,240.6
secteur,automotive,2309,44,190.6
secteur,food_beverage,3419,14,40.9
secteur,healthcare,2012,40,198.8
secteur,home_services,1933,75,388.0
secteur,hospitality,3602,21,58.3
secteur,travel,1151,15,130.3
secteur,wellness_fitness,1640,25,152.4
palier_local_guide,1_3,9285,136,146.5
palier_local_guide,4_et_plus,5479,41,74.8
palier_local_guide,sans_niveau,1302,57,437.8
taille_texte,sans_texte,4294,50,116.4
taille_texte,texte_1_50,2372,30,126.5
taille_texte,texte_51_200,5110,88,172.2
taille_texte,texte_201p,4290,66,153.8
habitude_reponse_fiche,habitude_25_75,3038,52,171.2
habitude_reponse_fiche,habitude_historique_insuffisant,285,1,35.1
habitude_reponse_fiche,habitude_moins_de_25,4589,50,109.0
habitude_reponse_fiche,habitude_plus_de_75,8154,131,160.7
region,Europe,7539,70,92.9
region,US,8527,164,192.3
n_avis_meme_jour_auteur,1,15951,234,146.7
n_avis_meme_jour_auteur,2,102,0,0.0
n_avis_meme_jour_auteur,3,9,0,0.0
n_avis_meme_jour_auteur,4,4,0,0.0
