caracteristique,valeur,tranche_age,lignes_avis_vague,suppressions,taux_pour_10000_lignes
has_photo,0,0-3j,89608,224,25.0
has_photo,1,0-3j,8556,13,15.19
has_photo,0,4-7j,118945,835,70.2
has_photo,1,4-7j,11523,39,33.85
has_photo,0,8-14j,205570,799,38.87
has_photo,1,8-14j,20734,35,16.88
has_photo,0,15-30j,464812,502,10.8
has_photo,1,15-30j,48612,26,5.35
has_photo,0,31-60j,827232,276,3.34
has_photo,1,31-60j,83751,18,2.15
has_photo,0,61-90j,797408,126,1.58
has_photo,1,61-90j,72879,14,1.92
has_photo,0,90j+,132590,10,0.75
has_photo,1,90j+,12047,2,1.66
has_reply,0,0-3j,53086,175,32.97
has_reply,1,0-3j,45078,62,13.75
has_reply,0,4-7j,63957,483,75.52
has_reply,1,4-7j,66511,391,58.79
has_reply,0,8-14j,103950,392,37.71
has_reply,1,8-14j,122354,442,36.12
has_reply,0,15-30j,225066,192,8.53
has_reply,1,15-30j,288358,336,11.65
has_reply,0,31-60j,380665,161,4.23
has_reply,1,31-60j,530318,133,2.51
has_reply,0,61-90j,358716,67,1.87
has_reply,1,61-90j,511571,73,1.43
has_reply,0,90j+,58995,5,0.85
has_reply,1,90j+,85642,7,0.82
langue_etrangere_au_pays,0,0-3j,45210,92,20.35
langue_etrangere_au_pays,1,0-3j,52954,145,27.38
langue_etrangere_au_pays,0,4-7j,60265,302,50.11
langue_etrangere_au_pays,1,4-7j,70203,572,81.48
langue_etrangere_au_pays,0,8-14j,105348,432,41.01
langue_etrangere_au_pays,1,8-14j,120956,402,33.24
langue_etrangere_au_pays,0,15-30j,239302,260,10.86
langue_etrangere_au_pays,1,15-30j,274122,268,9.78
langue_etrangere_au_pays,0,31-60j,422680,74,1.75
langue_etrangere_au_pays,1,31-60j,488303,220,4.51
langue_etrangere_au_pays,0,61-90j,405909,29,0.71
langue_etrangere_au_pays,1,61-90j,464378,111,2.39
langue_etrangere_au_pays,0,90j+,66734,5,0.75
langue_etrangere_au_pays,1,90j+,77903,7,0.9
langue_minoritaire_sur_la_fiche,0,0-3j,89606,214,23.88
langue_minoritaire_sur_la_fiche,1,0-3j,8558,23,26.88
langue_minoritaire_sur_la_fiche,0,4-7j,119198,836,70.14
langue_minoritaire_sur_la_fiche,1,4-7j,11270,38,33.72
langue_minoritaire_sur_la_fiche,0,8-14j,207096,814,39.31
langue_minoritaire_sur_la_fiche,1,8-14j,19208,20,10.41
langue_minoritaire_sur_la_fiche,0,15-30j,469745,500,10.64
langue_minoritaire_sur_la_fiche,1,15-30j,43679,28,6.41
langue_minoritaire_sur_la_fiche,0,31-60j,841499,284,3.37
langue_minoritaire_sur_la_fiche,1,31-60j,69484,10,1.44
langue_minoritaire_sur_la_fiche,0,61-90j,815205,138,1.69
langue_minoritaire_sur_la_fiche,1,61-90j,55082,2,0.36
langue_minoritaire_sur_la_fiche,0,90j+,135876,12,0.88
langue_minoritaire_sur_la_fiche,1,90j+,8761,0,0.0
star,1,0-3j,6356,79,124.29
star,2,0-3j,2292,17,74.17
star,3,0-3j,3222,5,15.52
star,4,0-3j,8566,26,30.35
star,5,0-3j,77728,110,14.15
star,1,4-7j,8300,89,107.23
star,2,4-7j,3010,13,43.19
star,3,4-7j,4306,6,13.93
star,4,4-7j,11480,29,25.26
star,5,4-7j,103372,737,71.3
star,1,8-14j,16394,323,197.02
star,2,8-14j,5150,3,5.83
star,3,8-14j,7736,4,5.17
star,4,8-14j,19629,13,6.62
star,5,8-14j,177395,491,27.68
star,1,15-30j,32112,134,41.73
star,2,15-30j,11531,17,14.74
star,3,15-30j,16546,7,4.23
star,4,15-30j,43120,16,3.71
star,5,15-30j,410115,354,8.63
star,1,31-60j,57990,34,5.86
star,2,31-60j,19362,6,3.1
star,3,31-60j,25754,3,1.16
star,4,31-60j,71915,5,0.7
star,5,31-60j,735962,246,3.34
star,1,61-90j,50548,37,7.32
star,2,61-90j,14933,2,1.34
star,3,61-90j,22759,3,1.32
star,4,61-90j,66889,1,0.15
star,5,61-90j,715158,97,1.36
star,1,90j+,8142,3,3.68
star,2,90j+,2674,0,0.0
star,3,90j+,3838,1,2.61
star,4,90j+,10851,0,0.0
star,5,90j+,119132,8,0.67
bucket,large,0-3j,44416,110,24.77
bucket,mono,0-3j,22244,46,20.68
bucket,small,0-3j,31504,81,25.71
bucket,large,4-7j,59376,482,81.18
bucket,mono,4-7j,29701,106,35.69
bucket,small,4-7j,41391,286,69.1
bucket,large,8-14j,103846,617,59.41
bucket,mono,8-14j,52131,68,13.04
bucket,small,8-14j,70327,149,21.19
bucket,large,15-30j,231971,339,14.61
bucket,mono,15-30j,117867,77,6.53
bucket,small,15-30j,163586,112,6.85
bucket,large,31-60j,419824,126,3.0
bucket,mono,31-60j,201593,68,3.37
bucket,small,31-60j,289566,100,3.45
bucket,large,61-90j,421832,59,1.4
bucket,mono,61-90j,175886,33,1.88
bucket,small,61-90j,272569,48,1.76
bucket,large,90j+,72731,5,0.69
bucket,mono,90j+,27444,2,0.73
bucket,small,90j+,44462,5,1.12
secteur,automotive,0-3j,12776,35,27.4
secteur,food_beverage,0-3j,18860,40,21.21
secteur,healthcare,0-3j,11498,23,20.0
secteur,home_services,0-3j,17981,56,31.14
secteur,hospitality,0-3j,20760,52,25.05
secteur,travel,0-3j,6608,5,7.57
secteur,wellness_fitness,0-3j,9681,26,26.86
secteur,automotive,4-7j,16790,80,47.65
secteur,food_beverage,4-7j,26226,54,20.59
secteur,healthcare,4-7j,15439,90,58.29
secteur,home_services,4-7j,23136,486,210.06
secteur,hospitality,4-7j,27175,54,19.87
secteur,travel,4-7j,9139,44,48.15
secteur,wellness_fitness,4-7j,12563,66,52.54
secteur,automotive,8-14j,28847,40,13.87
secteur,food_beverage,8-14j,43829,30,6.84
secteur,healthcare,8-14j,28391,66,23.25
